Temperature - (Celsius), Year, Month, Country, ISO3
24.6727, 1997, Mar, Australia, AUS
21.9664, 1997, Apr, Australia, AUS
17.7522, 1997, May, Australia, AUS
14.8343, 1997, Jun, Australia, AUS
13.4881, 1997, Jul, Australia, AUS
15.6403, 1997, Aug, Australia, AUS
20.0873, 1997, Sep, Australia, AUS
23.0519, 1997, Oct, Australia, AUS
25.8696, 1997, Nov, Australia, AUS
27.9143, 1997, Dec, Australia, AUS
28.644, 1998, Jan, Australia, AUS
28.4538, 1998, Feb, Australia, AUS
26.5978, 1998, Mar, Australia, AUS
22.292, 1998, Apr, Australia, AUS
19.1768, 1998, May, Australia, AUS
15.4407, 1998, Jun, Australia, AUS
14.3071, 1998, Jul, Australia, AUS
17.2443, 1998, Aug, Australia, AUS
20.1772, 1998, Sep, Australia, AUS
23.1524, 1998, Oct, Australia, AUS
25.2313, 1998, Nov, Australia, AUS
27.0559, 1998, Dec, Australia, AUS
29.0046, 1999, Jan, Australia, AUS
27.1632, 1999, Feb, Australia, AUS
25.8685, 1999, Mar, Australia, AUS
20.8842, 1999, Apr, Australia, AUS
18.9017, 1999, May, Australia, AUS
15.3187, 1999, Jun, Australia, AUS
14.7157, 1999, Jul, Australia, AUS
16.5408, 1999, Aug, Australia, AUS
20.286, 1999, Sep, Australia, AUS
23.0679, 1999, Oct, Australia, AUS
23.6742, 1999, Nov, Australia, AUS
25.8806, 1999, Dec, Australia, AUS
26.9125, 2000, Jan, Australia, AUS
27.1508, 2000, Feb, Australia, AUS
25.2061, 2000, Mar, Australia, AUS
21.6773, 2000, Apr, Australia, AUS
16.6272, 2000, May, Australia, AUS
14.0938, 2000, Jun, Australia, AUS
14.7065, 2000, Jul, Australia, AUS
15.6945, 2000, Aug, Australia, AUS
20.6112, 2000, Sep, Australia, AUS
22.0677, 2000, Oct, Australia, AUS
25.3575, 2000, Nov, Australia, AUS
26.9409, 2000, Dec, Australia, AUS
29.0295, 2001, Jan, Australia, AUS
27.476, 2001, Feb, Australia, AUS
24.5815, 2001, Mar, Australia, AUS
21.971, 2001, Apr, Australia, AUS
17.4261, 2001, May, Australia, AUS
15.585, 2001, Jun, Australia, AUS
14.3675, 2001, Jul, Australia, AUS
15.7516, 2001, Aug, Australia, AUS
19.7582, 2001, Sep, Australia, AUS
21.1909, 2001, Oct, Australia, AUS
24.4735, 2001, Nov, Australia, AUS
26.0967, 2001, Dec, Australia, AUS
27.6223, 2002, Jan, Australia, AUS
26.3276, 2002, Feb, Australia, AUS
25.648, 2002, Mar, Australia, AUS
23.5724, 2002, Apr, Australia, AUS
19.1452, 2002, May, Australia, AUS
15.2271, 2002, Jun, Australia, AUS
14.4791, 2002, Jul, Australia, AUS
15.9424, 2002, Aug, Australia, AUS
19.8917, 2002, Sep, Australia, AUS
23.3329, 2002, Oct, Australia, AUS
26.5885, 2002, Nov, Australia, AUS
27.7587, 2002, Dec, Australia, AUS
28.5896, 2003, Jan, Australia, AUS
28.0535, 2003, Feb, Australia, AUS
24.9951, 2003, Mar, Australia, AUS
22.6592, 2003, Apr, Australia, AUS
18.8473, 2003, May, Australia, AUS
15.6438, 2003, Jun, Australia, AUS
14.8848, 2003, Jul, Australia, AUS
16.1982, 2003, Aug, Australia, AUS
20.0326, 2003, Sep, Australia, AUS
21.926, 2003, Oct, Australia, AUS
25.8132, 2003, Nov, Australia, AUS
27.9301, 2003, Dec, Australia, AUS
28.2604, 2004, Jan, Australia, AUS
28.041, 2004, Feb, Australia, AUS
25.5965, 2004, Mar, Australia, AUS
22.8239, 2004, Apr, Australia, AUS
17.7738, 2004, May, Australia, AUS
15.5725, 2004, Jun, Australia, AUS
14.3299, 2004, Jul, Australia, AUS
15.6069, 2004, Aug, Australia, AUS
18.7627, 2004, Sep, Australia, AUS
24.1704, 2004, Oct, Australia, AUS
25.4206, 2004, Nov, Australia, AUS
27.4068, 2004, Dec, Australia, AUS
28.2958, 2005, Jan, Australia, AUS
27.7587, 2005, Feb, Australia, AUS
26.4619, 2005, Mar, Australia, AUS
24.3568, 2005, Apr, Australia, AUS
19.1301, 2005, May, Australia, AUS
15.8177, 2005, Jun, Australia, AUS
15.0296, 2005, Jul, Australia, AUS
16.0535, 2005, Aug, Australia, AUS
19.9697, 2005, Sep, Australia, AUS
23.5146, 2005, Oct, Australia, AUS
25.8671, 2005, Nov, Australia, AUS
27.8167, 2005, Dec, Australia, AUS
28.972, 2006, Jan, Australia, AUS
27.6461, 2006, Feb, Australia, AUS
26.0453, 2006, Mar, Australia, AUS
21.1194, 2006, Apr, Australia, AUS
16.9052, 2006, May, Australia, AUS
13.8069, 2006, Jun, Australia, AUS
13.9996, 2006, Jul, Australia, AUS
16.6777, 2006, Aug, Australia, AUS
20.1605, 2006, Sep, Australia, AUS
23.8873, 2006, Oct, Australia, AUS
26.648, 2006, Nov, Australia, AUS
27.0462, 2006, Dec, Australia, AUS
27.8036, 2007, Jan, Australia, AUS
28.6834, 2007, Feb, Australia, AUS
25.9193, 2007, Mar, Australia, AUS
22.7155, 2007, Apr, Australia, AUS
19.5421, 2007, May, Australia, AUS
13.4035, 2007, Jun, Australia, AUS
14.281, 2007, Jul, Australia, AUS
16.6781, 2007, Aug, Australia, AUS
20.1141, 2007, Sep, Australia, AUS
23.7394, 2007, Oct, Australia, AUS
25.7392, 2007, Nov, Australia, AUS
26.9396, 2007, Dec, Australia, AUS
28.9641, 2008, Jan, Australia, AUS
26.6182, 2008, Feb, Australia, AUS
25.7828, 2008, Mar, Australia, AUS
21.3636, 2008, Apr, Australia, AUS
18.1799, 2008, May, Australia, AUS
15.7838, 2008, Jun, Australia, AUS
14.2569, 2008, Jul, Australia, AUS
14.797, 2008, Aug, Australia, AUS
20.2138, 2008, Sep, Australia, AUS
23.9987, 2008, Oct, Australia, AUS
24.9864, 2008, Nov, Australia, AUS
27.0258, 2008, Dec, Australia, AUS
28.2459, 2009, Jan, Australia, AUS
27.5856, 2009, Feb, Australia, AUS
25.7929, 2009, Mar, Australia, AUS
22.3415, 2009, Apr, Australia, AUS
17.7504, 2009, May, Australia, AUS
15.4784, 2009, Jun, Australia, AUS
14.722, 2009, Jul, Australia, AUS
17.7415, 2009, Aug, Australia, AUS
20.0771, 2009, Sep, Australia, AUS
22.7646, 2009, Oct, Australia, AUS
26.7958, 2009, Nov, Australia, AUS
27.7926, 2009, Dec, Australia, AUS
28.4772, 2010, Jan, Australia, AUS
27.8996, 2010, Feb, Australia, AUS
25.614, 2010, Mar, Australia, AUS
23.1362, 2010, Apr, Australia, AUS
18.089, 2010, May, Australia, AUS
15.0195, 2010, Jun, Australia, AUS
14.6815, 2010, Jul, Australia, AUS
15.553, 2010, Aug, Australia, AUS
18.8901, 2010, Sep, Australia, AUS
21.9421, 2010, Oct, Australia, AUS
24.5987, 2010, Nov, Australia, AUS
26.3258, 2010, Dec, Australia, AUS
28.6973, 2011, Jan, Australia, AUS
27.0687, 2011, Feb, Australia, AUS
24.471, 2011, Mar, Australia, AUS
21.2642, 2011, Apr, Australia, AUS
16.5332, 2011, May, Australia, AUS
14.2911, 2011, Jun, Australia, AUS
14.5596, 2011, Jul, Australia, AUS
16.7487, 2011, Aug, Australia, AUS
19.1151, 2011, Sep, Australia, AUS
22.8282, 2011, Oct, Australia, AUS
25.4111, 2011, Nov, Australia, AUS
26.5171, 2011, Dec, Australia, AUS
27.8721, 2012, Jan, Australia, AUS
26.7473, 2012, Feb, Australia, AUS
24.3011, 2012, Mar, Australia, AUS
21.8773, 2012, Apr, Australia, AUS
17.2826, 2012, May, Australia, AUS
14.3544, 2012, Jun, Australia, AUS
13.5886, 2012, Jul, Australia, AUS
16.0686, 2012, Aug, Australia, AUS
20.0223, 2012, Sep, Australia, AUS
23.2514, 2012, Oct, Australia, AUS
26.4681, 2012, Nov, Australia, AUS
27.9791, 2012, Dec, Australia, AUS
29.4761, 2013, Jan, Australia, AUS
27.869, 2013, Feb, Australia, AUS
26.0435, 2013, Mar, Australia, AUS
22.962, 2013, Apr, Australia, AUS
18.8748, 2013, May, Australia, AUS
15.5021, 2013, Jun, Australia, AUS
15.3706, 2013, Jul, Australia, AUS
17.3374, 2013, Aug, Australia, AUS
21.4029, 2013, Sep, Australia, AUS
23.8622, 2013, Oct, Australia, AUS
25.6591, 2013, Nov, Australia, AUS
27.5784, 2013, Dec, Australia, AUS
28.8017, 2014, Jan, Australia, AUS
27.3039, 2014, Feb, Australia, AUS
26.1565, 2014, Mar, Australia, AUS
22.9487, 2014, Apr, Australia, AUS
19.5503, 2014, May, Australia, AUS
15.3384, 2014, Jun, Australia, AUS
14.3826, 2014, Jul, Australia, AUS
15.8921, 2014, Aug, Australia, AUS
20.2009, 2014, Sep, Australia, AUS
24.411, 2014, Oct, Australia, AUS
26.891, 2014, Nov, Australia, AUS
27.8269, 2014, Dec, Australia, AUS
27.8351, 2015, Jan, Australia, AUS
28.8897, 2015, Feb, Australia, AUS
26.1132, 2015, Mar, Australia, AUS
21.2017, 2015, Apr, Australia, AUS
17.6659, 2015, May, Australia, AUS
16.096, 2015, Jun, Australia, AUS
14.3975, 2015, Jul, Australia, AUS
16.3706, 2015, Aug, Australia, AUS
19.1778, 2015, Sep, Australia, AUS
24.8664, 2015, Oct, Australia, AUS
26.9433, 2015, Nov, Australia, AUS
27.9971, 2015, Dec, Australia, AUS
28.3713, 2016, Jan, Australia, AUS
28.306, 2016, Feb, Australia, AUS
27.0285, 2016, Mar, Australia, AUS
23.8023, 2016, Apr, Australia, AUS
19.6843, 2016, May, Australia, AUS
16.0292, 2016, Jun, Australia, AUS
14.8634, 2016, Jul, Australia, AUS
16.1341, 2016, Aug, Australia, AUS
18.8, 2016, Sep, Australia, AUS
22.0308, 2016, Oct, Australia, AUS
25.7045, 2016, Nov, Australia, AUS
27.5676, 2016, Dec, Australia, AUS
