"card_id";"disp_id";"type";"issued"
695;4507;"classic";951215 00:00:00
666;4328;"junior";951225 00:00:00
462;2978;"classic";951230 00:00:00
85;489;"classic";951231 00:00:00
337;2141;"classic";960101 00:00:00
771;5233;"classic";960108 00:00:00
379;2431;"classic";960112 00:00:00
106;592;"classic";960114 00:00:00
606;3883;"classic";960122 00:00:00
427;2688;"gold";960125 00:00:00
202;1228;"classic";960204 00:00:00
814;5911;"classic";960215 00:00:00
1064;10328;"classic";960217 00:00:00
14;112;"classic";960217 00:00:00
423;2657;"classic";960219 00:00:00
989;9119;"classic";960221 00:00:00
364;2329;"classic";960229 00:00:00
267;1691;"junior";960309 00:00:00
621;3970;"junior";960319 00:00:00
1139;11836;"junior";960326 00:00:00
725;4715;"junior";960330 00:00:00
150;859;"classic";960330 00:00:00
302;1900;"classic";960331 00:00:00
372;2395;"classic";960331 00:00:00
499;3187;"classic";960403 00:00:00
229;1384;"classic";960405 00:00:00
289;1831;"junior";960408 00:00:00
1100;11101;"junior";960410 00:00:00
37;238;"classic";960420 00:00:00
286;1812;"gold";960421 00:00:00
157;907;"classic";960424 00:00:00
216;1310;"junior";960424 00:00:00
977;8968;"classic";960508 00:00:00
183;1080;"classic";960508 00:00:00
945;8342;"junior";960509 00:00:00
44;268;"junior";960517 00:00:00
600;3829;"classic";960520 00:00:00
127;714;"classic";960523 00:00:00
764;5159;"classic";960529 00:00:00
204;1239;"junior";960530 00:00:00
1134;11742;"classic";960531 00:00:00
312;1971;"classic";960608 00:00:00
313;1980;"classic";960617 00:00:00
641;4116;"classic";960618 00:00:00
731;4751;"classic";960623 00:00:00
84;487;"classic";960626 00:00:00
265;1680;"classic";960628 00:00:00
1176;12502;"gold";960703 00:00:00
1233;13382;"classic";960706 00:00:00
407;2555;"classic";960711 00:00:00
320;2045;"classic";960711 00:00:00
1187;12635;"gold";960717 00:00:00
121;666;"junior";960722 00:00:00
1055;10171;"classic";960724 00:00:00
303;1912;"classic";960801 00:00:00
651;4201;"junior";960802 00:00:00
736;4789;"classic";960803 00:00:00
24;153;"junior";960805 00:00:00
587;3763;"junior";960805 00:00:00
119;655;"classic";960808 00:00:00
670;4343;"classic";960808 00:00:00
227;1380;"classic";960810 00:00:00
1164;12269;"classic";960812 00:00:00
1043;9974;"junior";960814 00:00:00
278;1779;"classic";960815 00:00:00
103;584;"junior";960817 00:00:00
673;4353;"junior";960831 00:00:00
38;242;"classic";960831 00:00:00
470;3036;"classic";960902 00:00:00
890;7422;"classic";960908 00:00:00
514;3267;"classic";960910 00:00:00
741;4832;"classic";960911 00:00:00
882;7195;"classic";960911 00:00:00
12;83;"junior";960911 00:00:00
152;876;"classic";960916 00:00:00
163;984;"classic";960918 00:00:00
708;4568;"junior";960924 00:00:00
1087;10887;"classic";961006 00:00:00
854;6753;"classic";961007 00:00:00
601;3830;"classic";961008 00:00:00
99;548;"gold";961009 00:00:00
547;3477;"classic";961011 00:00:00
40;255;"classic";961013 00:00:00
220;1333;"classic";961013 00:00:00
390;2490;"classic";961014 00:00:00
776;5263;"classic";961019 00:00:00
197;1202;"junior";961021 00:00:00
516;3279;"classic";961025 00:00:00
381;2440;"classic";961027 00:00:00
1010;9413;"classic";961027 00:00:00
813;5873;"junior";961028 00:00:00
272;1754;"junior";961028 00:00:00
772;5243;"classic";961030 00:00:00
528;3356;"classic";961031 00:00:00
1014;9452;"classic";961102 00:00:00
87;493;"classic";961102 00:00:00
88;496;"classic";961104 00:00:00
441;2785;"classic";961105 00:00:00
562;3583;"classic";961107 00:00:00
690;4479;"classic";961107 00:00:00
374;2423;"classic";961108 00:00:00
57;347;"classic";961109 00:00:00
722;4684;"classic";961114 00:00:00
300;1890;"classic";961120 00:00:00
117;649;"junior";961123 00:00:00
541;3427;"junior";961126 00:00:00
294;1861;"classic";961204 00:00:00
10;77;"classic";961207 00:00:00
710;4588;"junior";961210 00:00:00
408;2560;"classic";961210 00:00:00
363;2324;"junior";961211 00:00:00
697;4518;"classic";961211 00:00:00
433;2724;"classic";961212 00:00:00
642;4137;"classic";961213 00:00:00
243;1478;"classic";961213 00:00:00
162;967;"junior";961223 00:00:00
594;3794;"junior";961227 00:00:00
609;3893;"classic";961229 00:00:00
1111;11288;"classic";961231 00:00:00
786;5478;"classic";961231 00:00:00
1118;11393;"classic";970102 00:00:00
175;1040;"classic";970103 00:00:00
565;3601;"gold";970106 00:00:00
714;4638;"classic";970109 00:00:00
137;786;"junior";970110 00:00:00
22;138;"classic";970111 00:00:00
325;2102;"classic";970112 00:00:00
194;1182;"classic";970113 00:00:00
668;4340;"classic";970114 00:00:00
706;4559;"gold";970116 00:00:00
850;6644;"classic";970116 00:00:00
298;1885;"classic";970117 00:00:00
105;590;"classic";970117 00:00:00
1036;9735;"classic";970117 00:00:00
292;1842;"gold";970118 00:00:00
112;626;"junior";970119 00:00:00
678;4405;"gold";970120 00:00:00
1093;11011;"classic";970120 00:00:00
681;4426;"classic";970122 00:00:00
582;3733;"classic";970122 00:00:00
729;4740;"junior";970122 00:00:00
54;334;"classic";970124 00:00:00
258;1607;"classic";970126 00:00:00
534;3387;"classic";970129 00:00:00
667;4333;"classic";970131 00:00:00
195;1194;"classic";970203 00:00:00
199;1213;"classic";970207 00:00:00
490;3136;"gold";970207 00:00:00
347;2184;"classic";970211 00:00:00
210;1253;"classic";970216 00:00:00
293;1850;"classic";970217 00:00:00
189;1157;"classic";970219 00:00:00
324;2074;"classic";970219 00:00:00
578;3689;"junior";970221 00:00:00
266;1690;"classic";970304 00:00:00
568;3615;"classic";970305 00:00:00
171;1027;"classic";970305 00:00:00
679;4416;"classic";970306 00:00:00
841;6468;"classic";970306 00:00:00
513;3260;"classic";970315 00:00:00
647;4171;"junior";970321 00:00:00
665;4318;"classic";970324 00:00:00
400;2529;"classic";970406 00:00:00
617;3944;"gold";970409 00:00:00
709;4587;"junior";970411 00:00:00
387;2481;"classic";970418 00:00:00
226;1378;"classic";970418 00:00:00
350;2226;"classic";970420 00:00:00
539;3415;"classic";970423 00:00:00
583;3735;"classic";970424 00:00:00
576;3671;"classic";970430 00:00:00
232;1396;"classic";970501 00:00:00
730;4749;"classic";970502 00:00:00
616;3943;"classic";970505 00:00:00
564;3590;"classic";970506 00:00:00
82;474;"classic";970507 00:00:00
1173;12442;"classic";970508 00:00:00
426;2686;"classic";970509 00:00:00
791;5521;"classic";970512 00:00:00
572;3636;"junior";970516 00:00:00
375;2425;"junior";970517 00:00:00
69;438;"classic";970517 00:00:00
607;3885;"classic";970517 00:00:00
155;900;"junior";970517 00:00:00
275;1762;"classic";970520 00:00:00
847;6610;"classic";970520 00:00:00
399;2527;"classic";970522 00:00:00
305;1914;"classic";970523 00:00:00
430;2713;"classic";970526 00:00:00
349;2214;"classic";970526 00:00:00
256;1583;"classic";970526 00:00:00
50;309;"classic";970528 00:00:00
939;8217;"junior";970529 00:00:00
110;608;"classic";970531 00:00:00
184;1089;"gold";970603 00:00:00
90;503;"classic";970604 00:00:00
597;3813;"junior";970606 00:00:00
471;3037;"classic";970609 00:00:00
494;3173;"classic";970610 00:00:00
211;1271;"classic";970610 00:00:00
353;2259;"classic";970611 00:00:00
213;1289;"gold";970611 00:00:00
1009;9409;"gold";970614 00:00:00
297;1883;"classic";970615 00:00:00
801;5684;"classic";970615 00:00:00
748;4923;"classic";970616 00:00:00
133;742;"classic";970616 00:00:00
316;2013;"classic";970617 00:00:00
145;819;"classic";970617 00:00:00
270;1736;"junior";970617 00:00:00
1178;12542;"classic";970619 00:00:00
222;1345;"classic";970619 00:00:00
241;1461;"classic";970620 00:00:00
280;1793;"classic";970622 00:00:00
675;4376;"classic";970623 00:00:00
108;597;"classic";970625 00:00:00
1196;12805;"classic";970627 00:00:00
287;1819;"junior";970628 00:00:00
443;2808;"classic";970629 00:00:00
1138;11825;"classic";970629 00:00:00
733;4764;"junior";970630 00:00:00
311;1954;"classic";970701 00:00:00
120;662;"classic";970703 00:00:00
122;667;"junior";970703 00:00:00
476;3079;"classic";970706 00:00:00
781;5366;"classic";970707 00:00:00
588;3765;"classic";970708 00:00:00
403;2538;"junior";970712 00:00:00
139;797;"classic";970714 00:00:00
553;3522;"classic";970714 00:00:00
625;3987;"classic";970717 00:00:00
413;2592;"junior";970720 00:00:00
591;3779;"classic";970723 00:00:00
694;4504;"classic";970724 00:00:00
512;3259;"classic";970724 00:00:00
1095;11023;"gold";970728 00:00:00
1059;10235;"classic";970729 00:00:00
75;457;"classic";970729 00:00:00
383;2469;"classic";970730 00:00:00
115;638;"classic";970730 00:00:00
884;7286;"gold";970731 00:00:00
454;2921;"classic";970801 00:00:00
688;4472;"classic";970801 00:00:00
936;8030;"classic";970802 00:00:00
663;4295;"classic";970806 00:00:00
637;4094;"junior";970806 00:00:00
511;3257;"junior";970806 00:00:00
1220;13160;"classic";970808 00:00:00
628;4007;"classic";970811 00:00:00
718;4660;"classic";970812 00:00:00
238;1452;"gold";970817 00:00:00
546;3465;"gold";970819 00:00:00
660;4265;"junior";970819 00:00:00
491;3151;"classic";970821 00:00:00
140;798;"classic";970822 00:00:00
502;3201;"classic";970822 00:00:00
598;3821;"classic";970823 00:00:00
355;2267;"classic";970828 00:00:00
43;267;"classic";970829 00:00:00
610;3894;"classic";970829 00:00:00
182;1067;"gold";970831 00:00:00
41;256;"classic";970831 00:00:00
91;504;"junior";970901 00:00:00
252;1529;"classic";970902 00:00:00
495;3181;"classic";970902 00:00:00
259;1610;"classic";970905 00:00:00
187;1140;"classic";970907 00:00:00
185;1098;"classic";970907 00:00:00
1025;9625;"classic";970908 00:00:00
19;130;"classic";970909 00:00:00
431;2715;"gold";970912 00:00:00
356;2268;"classic";970913 00:00:00
767;5204;"classic";970914 00:00:00
537;3405;"classic";970915 00:00:00
703;4546;"classic";970917 00:00:00
671;4345;"classic";970917 00:00:00
896;7567;"classic";970918 00:00:00
343;2164;"classic";970921 00:00:00
279;1791;"classic";970921 00:00:00
622;3981;"junior";970922 00:00:00
612;3906;"classic";970922 00:00:00
206;1243;"classic";970922 00:00:00
190;1165;"classic";970923 00:00:00
1203;12893;"classic";970926 00:00:00
234;1424;"classic";970929 00:00:00
30;202;"classic";971001 00:00:00
327;2117;"classic";971003 00:00:00
49;305;"classic";971003 00:00:00
1115;11375;"junior";971003 00:00:00
698;4522;"gold";971007 00:00:00
874;7127;"gold";971007 00:00:00
247;1500;"junior";971008 00:00:00
656;4235;"classic";971008 00:00:00
436;2759;"classic";971009 00:00:00
124;688;"classic";971010 00:00:00
633;4078;"classic";971012 00:00:00
428;2698;"classic";971013 00:00:00
638;4100;"gold";971014 00:00:00
153;886;"gold";971019 00:00:00
596;3811;"classic";971019 00:00:00
664;4316;"classic";971022 00:00:00
251;1525;"classic";971023 00:00:00
552;3519;"classic";971025 00:00:00
9;76;"classic";971025 00:00:00
11;79;"gold";971025 00:00:00
650;4194;"classic";971026 00:00:00
59;365;"classic";971027 00:00:00
1016;9525;"classic";971028 00:00:00
359;2299;"classic";971029 00:00:00
438;2768;"classic";971030 00:00:00
94;513;"classic";971106 00:00:00
1056;10220;"classic";971106 00:00:00
273;1758;"classic";971107 00:00:00
947;8366;"classic";971108 00:00:00
93;510;"classic";971109 00:00:00
762;5132;"classic";971110 00:00:00
254;1578;"classic";971111 00:00:00
611;3896;"classic";971113 00:00:00
648;4188;"classic";971118 00:00:00
373;2401;"classic";971118 00:00:00
579;3699;"classic";971118 00:00:00
555;3544;"classic";971119 00:00:00
329;2122;"gold";971119 00:00:00
707;4560;"classic";971121 00:00:00
51;321;"classic";971121 00:00:00
382;2445;"gold";971122 00:00:00
472;3056;"classic";971124 00:00:00
237;1445;"classic";971125 00:00:00
1234;13386;"classic";971128 00:00:00
86;490;"classic";971128 00:00:00
540;3425;"classic";971129 00:00:00
493;3167;"classic";971130 00:00:00
532;3382;"classic";971130 00:00:00
590;3769;"classic";971202 00:00:00
942;8295;"classic";971202 00:00:00
33;221;"junior";971203 00:00:00
739;4821;"classic";971203 00:00:00
45;272;"classic";971205 00:00:00
25;158;"classic";971206 00:00:00
200;1220;"gold";971209 00:00:00
268;1707;"gold";971211 00:00:00
507;3245;"classic";971211 00:00:00
569;3616;"classic";971212 00:00:00
282;1799;"gold";971213 00:00:00
536;3404;"classic";971213 00:00:00
1022;9606;"classic";971213 00:00:00
1105;11237;"classic";971213 00:00:00
326;2104;"classic";971214 00:00:00
380;2434;"classic";971215 00:00:00
723;4699;"classic";971215 00:00:00
81;473;"classic";971217 00:00:00
521;3310;"classic";971217 00:00:00
608;3890;"classic";971217 00:00:00
589;3766;"junior";971220 00:00:00
281;1795;"classic";971222 00:00:00
891;7434;"classic";971223 00:00:00
774;5249;"classic";971225 00:00:00
566;3606;"classic";971225 00:00:00
575;3667;"gold";971225 00:00:00
154;887;"classic";971228 00:00:00
130;722;"classic";971229 00:00:00
434;2739;"classic";971230 00:00:00
83;483;"classic";980105 00:00:00
593;3787;"junior";980106 00:00:00
481;3102;"junior";980106 00:00:00
304;1913;"classic";980106 00:00:00
149;858;"classic";980107 00:00:00
659;4258;"classic";980108 00:00:00
517;3291;"classic";980109 00:00:00
368;2361;"classic";980110 00:00:00
482;3104;"junior";980113 00:00:00
689;4473;"classic";980115 00:00:00
557;3567;"classic";980117 00:00:00
897;7576;"classic";980118 00:00:00
803;5727;"classic";980119 00:00:00
401;2532;"classic";980119 00:00:00
760;5126;"classic";980119 00:00:00
274;1759;"classic";980121 00:00:00
28;174;"junior";980122 00:00:00
904;7672;"classic";980122 00:00:00
474;3066;"junior";980124 00:00:00
214;1292;"classic";980124 00:00:00
55;335;"classic";980125 00:00:00
340;2155;"classic";980125 00:00:00
724;4701;"gold";980127 00:00:00
67;429;"junior";980128 00:00:00
236;1440;"junior";980129 00:00:00
68;434;"classic";980131 00:00:00
348;2203;"classic";980202 00:00:00
65;414;"classic";980202 00:00:00
1239;13442;"junior";980202 00:00:00
165;996;"junior";980204 00:00:00
249;1517;"classic";980206 00:00:00
246;1492;"classic";980208 00:00:00
720;4674;"junior";980209 00:00:00
518;3292;"gold";980210 00:00:00
459;2958;"gold";980211 00:00:00
655;4231;"classic";980213 00:00:00
624;3985;"junior";980213 00:00:00
398;2522;"classic";980214 00:00:00
796;5579;"classic";980220 00:00:00
100;562;"gold";980221 00:00:00
574;3640;"junior";980223 00:00:00
360;2308;"classic";980224 00:00:00
391;2493;"classic";980224 00:00:00
283;1800;"classic";980225 00:00:00
726;4721;"classic";980226 00:00:00
132;731;"junior";980226 00:00:00
463;2982;"classic";980226 00:00:00
21;132;"classic";980226 00:00:00
529;3357;"classic";980227 00:00:00
946;8359;"junior";980228 00:00:00
419;2626;"classic";980228 00:00:00
248;1512;"classic";980301 00:00:00
215;1296;"classic";980302 00:00:00
225;1359;"classic";980303 00:00:00
643;4157;"classic";980304 00:00:00
844;6567;"junior";980304 00:00:00
672;4349;"classic";980307 00:00:00
276;1765;"classic";980307 00:00:00
1230;13312;"classic";980308 00:00:00
599;3824;"gold";980308 00:00:00
72;447;"classic";980309 00:00:00
1199;12826;"classic";980309 00:00:00
48;295;"classic";980310 00:00:00
58;358;"classic";980311 00:00:00
334;2133;"classic";980313 00:00:00
2;19;"classic";980313 00:00:00
228;1382;"junior";980315 00:00:00
244;1480;"classic";980316 00:00:00
1189;12683;"classic";980317 00:00:00
198;1211;"junior";980318 00:00:00
34;225;"classic";980320 00:00:00
535;3395;"classic";980322 00:00:00
269;1718;"gold";980322 00:00:00
515;3268;"classic";980323 00:00:00
290;1833;"classic";980324 00:00:00
315;2005;"junior";980324 00:00:00
784;5461;"classic";980324 00:00:00
63;378;"junior";980327 00:00:00
417;2619;"classic";980330 00:00:00
619;3958;"classic";980401 00:00:00
191;1168;"junior";980402 00:00:00
965;8636;"classic";980402 00:00:00
444;2815;"gold";980403 00:00:00
370;2374;"classic";980403 00:00:00
156;906;"junior";980407 00:00:00
492;3166;"classic";980409 00:00:00
52;326;"gold";980410 00:00:00
71;441;"classic";980411 00:00:00
775;5253;"gold";980411 00:00:00
330;2124;"classic";980411 00:00:00
510;3256;"classic";980413 00:00:00
170;1020;"classic";980416 00:00:00
338;2146;"classic";980416 00:00:00
755;5002;"classic";980416 00:00:00
451;2888;"junior";980416 00:00:00
263;1668;"gold";980417 00:00:00
602;3846;"junior";980418 00:00:00
498;3186;"classic";980418 00:00:00
933;7959;"junior";980421 00:00:00
89;497;"classic";980422 00:00:00
761;5128;"gold";980423 00:00:00
176;1049;"classic";980425 00:00:00
1102;11183;"classic";980425 00:00:00
109;605;"classic";980426 00:00:00
421;2644;"classic";980427 00:00:00
918;7796;"classic";980427 00:00:00
680;4417;"classic";980429 00:00:00
824;6196;"classic";980429 00:00:00
448;2864;"classic";980429 00:00:00
1194;12781;"junior";980430 00:00:00
331;2125;"gold";980501 00:00:00
734;4765;"classic";980501 00:00:00
235;1438;"classic";980502 00:00:00
284;1807;"classic";980507 00:00:00
412;2585;"classic";980509 00:00:00
64;402;"classic";980510 00:00:00
186;1133;"gold";980512 00:00:00
458;2951;"gold";980514 00:00:00
465;2995;"classic";980515 00:00:00
457;2948;"junior";980516 00:00:00
456;2929;"classic";980516 00:00:00
645;4166;"classic";980517 00:00:00
906;7683;"gold";980518 00:00:00
756;5012;"classic";980518 00:00:00
218;1322;"classic";980518 00:00:00
717;4654;"classic";980519 00:00:00
8;60;"junior";980520 00:00:00
700;4533;"junior";980522 00:00:00
757;5013;"junior";980522 00:00:00
126;707;"classic";980523 00:00:00
358;2287;"junior";980523 00:00:00
639;4112;"classic";980523 00:00:00
212;1280;"classic";980524 00:00:00
415;2609;"classic";980525 00:00:00
161;963;"classic";980525 00:00:00
207;1244;"classic";980525 00:00:00
1216;13097;"classic";980526 00:00:00
649;4190;"classic";980529 00:00:00
475;3075;"gold";980531 00:00:00
586;3756;"classic";980531 00:00:00
446;2841;"classic";980604 00:00:00
823;6178;"classic";980605 00:00:00
644;4165;"classic";980605 00:00:00
111;615;"classic";980605 00:00:00
469;3026;"classic";980607 00:00:00
17;127;"classic";980607 00:00:00
558;3568;"classic";980607 00:00:00
192;1169;"classic";980608 00:00:00
631;4061;"junior";980609 00:00:00
317;2015;"classic";980610 00:00:00
716;4651;"junior";980611 00:00:00
7;56;"classic";980611 00:00:00
863;6906;"classic";980612 00:00:00
123;679;"classic";980612 00:00:00
770;5232;"classic";980615 00:00:00
143;816;"classic";980615 00:00:00
785;5468;"classic";980616 00:00:00
646;4167;"classic";980617 00:00:00
160;954;"classic";980617 00:00:00
669;4341;"classic";980619 00:00:00
101;566;"classic";980619 00:00:00
332;2126;"classic";980619 00:00:00
362;2320;"gold";980621 00:00:00
173;1031;"classic";980621 00:00:00
16;116;"classic";980623 00:00:00
365;2332;"classic";980623 00:00:00
701;4534;"classic";980624 00:00:00
80;471;"classic";980625 00:00:00
831;6275;"classic";980629 00:00:00
354;2265;"gold";980630 00:00:00
250;1522;"classic";980630 00:00:00
142;810;"classic";980701 00:00:00
991;9149;"junior";980701 00:00:00
1192;12736;"classic";980702 00:00:00
738;4808;"junior";980702 00:00:00
627;3994;"classic";980705 00:00:00
696;4516;"classic";980705 00:00:00
260;1616;"classic";980705 00:00:00
768;5223;"classic";980706 00:00:00
233;1418;"classic";980707 00:00:00
450;2880;"classic";980707 00:00:00
440;2782;"classic";980707 00:00:00
301;1899;"classic";980707 00:00:00
485;3124;"classic";980708 00:00:00
567;3611;"classic";980708 00:00:00
66;425;"classic";980708 00:00:00
1002;9261;"classic";980709 00:00:00
453;2911;"gold";980712 00:00:00
277;1777;"gold";980712 00:00:00
571;3627;"junior";980713 00:00:00
687;4471;"classic";980714 00:00:00
640;4115;"classic";980714 00:00:00
39;254;"classic";980714 00:00:00
435;2740;"classic";980715 00:00:00
411;2572;"classic";980715 00:00:00
548;3501;"classic";980716 00:00:00
1167;12335;"classic";980718 00:00:00
727;4723;"classic";980719 00:00:00
603;3850;"classic";980720 00:00:00
496;3183;"junior";980721 00:00:00
73;451;"junior";980721 00:00:00
146;822;"classic";980723 00:00:00
439;2779;"classic";980723 00:00:00
613;3913;"classic";980723 00:00:00
323;2065;"junior";980724 00:00:00
623;3984;"classic";980725 00:00:00
530;3360;"classic";980725 00:00:00
396;2508;"classic";980726 00:00:00
1076;10604;"gold";980727 00:00:00
344;2168;"classic";980727 00:00:00
525;3337;"classic";980727 00:00:00
42;264;"junior";980728 00:00:00
740;4823;"junior";980728 00:00:00
780;5333;"classic";980729 00:00:00
509;3253;"gold";980730 00:00:00
308;1938;"classic";980730 00:00:00
618;3947;"classic";980731 00:00:00
209;1251;"classic";980731 00:00:00
1155;12088;"classic";980801 00:00:00
95;519;"junior";980801 00:00:00
833;6299;"classic";980801 00:00:00
319;2038;"junior";980802 00:00:00
795;5563;"classic";980802 00:00:00
508;3249;"classic";980803 00:00:00
78;468;"classic";980804 00:00:00
683;4437;"classic";980805 00:00:00
32;219;"classic";980806 00:00:00
550;3515;"classic";980808 00:00:00
1217;13098;"junior";980809 00:00:00
1003;9274;"classic";980809 00:00:00
179;1059;"classic";980810 00:00:00
169;1019;"classic";980810 00:00:00
221;1339;"classic";980810 00:00:00
684;4457;"classic";980811 00:00:00
77;466;"classic";980813 00:00:00
581;3721;"classic";980813 00:00:00
47;280;"classic";980813 00:00:00
386;2478;"classic";980814 00:00:00
346;2177;"classic";980814 00:00:00
406;2548;"classic";980816 00:00:00
951;8392;"classic";980816 00:00:00
519;3297;"classic";980816 00:00:00
321;2058;"gold";980816 00:00:00
128;716;"classic";980819 00:00:00
711;4592;"classic";980819 00:00:00
538;3414;"gold";980820 00:00:00
29;192;"classic";980820 00:00:00
834;6301;"classic";980821 00:00:00
461;2977;"gold";980821 00:00:00
239;1453;"gold";980824 00:00:00
395;2502;"classic";980824 00:00:00
531;3378;"gold";980824 00:00:00
1150;12020;"classic";980825 00:00:00
96;528;"classic";980826 00:00:00
367;2343;"classic";980827 00:00:00
1023;9621;"classic";980830 00:00:00
702;4543;"classic";980830 00:00:00
405;2542;"classic";980831 00:00:00
480;3092;"classic";980901 00:00:00
1098;11063;"classic";980901 00:00:00
79;469;"classic";980902 00:00:00
402;2536;"classic";980903 00:00:00
551;3517;"classic";980903 00:00:00
425;2662;"junior";980904 00:00:00
1195;12787;"gold";980904 00:00:00
1154;12070;"classic";980905 00:00:00
307;1930;"gold";980905 00:00:00
752;4944;"junior";980906 00:00:00
134;769;"classic";980907 00:00:00
285;1811;"gold";980910 00:00:00
544;3448;"gold";980910 00:00:00
526;3339;"classic";980910 00:00:00
352;2235;"classic";980911 00:00:00
328;2121;"junior";980912 00:00:00
26;161;"classic";980914 00:00:00
141;808;"classic";980915 00:00:00
151;861;"classic";980916 00:00:00
203;1231;"classic";980916 00:00:00
653;4212;"classic";980916 00:00:00
880;7186;"classic";980917 00:00:00
620;3959;"classic";980917 00:00:00
630;4019;"classic";980918 00:00:00
1188;12678;"classic";980919 00:00:00
389;2489;"gold";980919 00:00:00
1024;9622;"classic";980920 00:00:00
193;1179;"gold";980921 00:00:00
758;5016;"classic";980921 00:00:00
634;4081;"junior";980922 00:00:00
361;2312;"classic";980923 00:00:00
242;1473;"classic";980924 00:00:00
923;7855;"classic";980924 00:00:00
1007;9333;"gold";980925 00:00:00
520;3308;"classic";980925 00:00:00
629;4018;"junior";980925 00:00:00
335;2137;"classic";980925 00:00:00
414;2606;"classic";980926 00:00:00
36;236;"classic";980928 00:00:00
561;3581;"gold";980928 00:00:00
291;1836;"classic";980929 00:00:00
231;1390;"junior";980929 00:00:00
782;5376;"classic";980929 00:00:00
180;1062;"classic";980929 00:00:00
765;5175;"classic";980929 00:00:00
357;2277;"junior";980929 00:00:00
554;3535;"classic";980929 00:00:00
956;8502;"classic";980930 00:00:00
676;4380;"classic";980930 00:00:00
255;1579;"gold";981001 00:00:00
1193;12743;"classic";981001 00:00:00
416;2616;"classic";981001 00:00:00
585;3753;"gold";981001 00:00:00
744;4863;"classic";981002 00:00:00
23;146;"classic";981003 00:00:00
394;2501;"classic";981005 00:00:00
460;2971;"classic";981005 00:00:00
35;231;"classic";981007 00:00:00
447;2845;"classic";981007 00:00:00
264;1669;"classic";981007 00:00:00
245;1483;"classic";981008 00:00:00
505;3233;"junior";981009 00:00:00
336;2138;"junior";981009 00:00:00
366;2335;"classic";981009 00:00:00
533;3384;"classic";981009 00:00:00
288;1826;"classic";981010 00:00:00
754;4976;"junior";981010 00:00:00
116;646;"classic";981011 00:00:00
1035;9732;"classic";981011 00:00:00
682;4429;"classic";981011 00:00:00
792;5526;"classic";981011 00:00:00
385;2476;"classic";981012 00:00:00
53;333;"classic";981013 00:00:00
751;4941;"junior";981015 00:00:00
614;3938;"junior";981016 00:00:00
957;8506;"junior";981016 00:00:00
1;9;"gold";981016 00:00:00
743;4862;"gold";981018 00:00:00
61;374;"classic";981018 00:00:00
