"account_id";"district_id";"frequency";"date"
96;68;"POPLATEK MESICNE";930218
461;30;"POPLATEK MESICNE";930218
3593;1;"POPLATEK MESICNE";930218
3026;24;"POPLATEK MESICNE";930218
1054;10;"POPLATEK MESICNE";930219
2433;71;"POPLATEK MESICNE";930219
3691;50;"POPLATEK MESICNE";930219
3787;70;"POPLATEK MESICNE";930219
128;2;"POPLATEK MESICNE";930219
3168;39;"POPLATEK MESICNE";930220
4937;12;"POPLATEK MESICNE";930220
2124;69;"POPLATEK MESICNE";930220
322;1;"POPLATEK MESICNE";930220
4355;31;"POPLATEK MESICNE";930221
1678;1;"POPLATEK MESICNE";930222
2396;2;"POPLATEK MESICNE";930222
1005;54;"POPLATEK TYDNE";930223
697;28;"POPLATEK MESICNE";930223
925;59;"POPLATEK MESICNE";930223
2110;64;"POPLATEK MESICNE";930223
1366;60;"POPLATEK MESICNE";930224
1050;57;"POPLATEK PO OBRATU";930224
3117;33;"POPLATEK MESICNE";930224
562;50;"POPLATEK MESICNE";930225
5369;54;"POPLATEK MESICNE";930225
2242;7;"POPLATEK TYDNE";930225
197;1;"POPLATEK MESICNE";930225
496;69;"POPLATEK MESICNE";930226
2;1;"POPLATEK MESICNE";930226
7401;1;"POPLATEK MESICNE";930226
2486;1;"POPLATEK MESICNE";930227
428;1;"POPLATEK MESICNE";930227
3651;23;"POPLATEK MESICNE";930227
1775;17;"POPLATEK MESICNE";930227
1688;70;"POPLATEK MESICNE";930227
361;51;"POPLATEK MESICNE";930227
1829;43;"POPLATEK MESICNE";930227
1575;1;"POPLATEK MESICNE";930227
9203;70;"POPLATEK MESICNE";930227
3008;72;"POPLATEK MESICNE";930227
239;69;"POPLATEK TYDNE";930301
3302;21;"POPLATEK MESICNE";930302
415;25;"POPLATEK MESICNE";930303
3513;20;"POPLATEK MESICNE";930303
4134;7;"POPLATEK MESICNE";930303
1077;14;"POPLATEK MESICNE";930303
1713;43;"POPLATEK MESICNE";930303
1378;59;"POPLATEK MESICNE";930304
2503;1;"POPLATEK MESICNE";930305
559;46;"POPLATEK MESICNE";930305
6555;38;"POPLATEK TYDNE";930305
744;42;"POPLATEK MESICNE";930306
882;9;"POPLATEK MESICNE";930306
86;54;"POPLATEK MESICNE";930307
1126;56;"POPLATEK MESICNE";930308
2666;49;"POPLATEK MESICNE";930308
944;70;"POPLATEK MESICNE";930308
1545;1;"POPLATEK MESICNE";930308
2453;1;"POPLATEK MESICNE";930308
3734;43;"POPLATEK MESICNE";930308
3935;23;"POPLATEK MESICNE";930308
396;21;"POPLATEK MESICNE";930308
2694;7;"POPLATEK MESICNE";930308
4596;74;"POPLATEK MESICNE";930309
2489;72;"POPLATEK MESICNE";930309
2895;19;"POPLATEK MESICNE";930309
317;76;"POPLATEK MESICNE";930310
2555;53;"POPLATEK MESICNE";930310
494;60;"POPLATEK MESICNE";930311
2219;60;"POPLATEK MESICNE";930311
2581;72;"POPLATEK MESICNE";930311
112;6;"POPLATEK MESICNE";930312
3674;38;"POPLATEK MESICNE";930312
2039;44;"POPLATEK MESICNE";930312
2712;9;"POPLATEK MESICNE";930312
395;1;"POPLATEK MESICNE";930312
2974;9;"POPLATEK MESICNE";930313
123;21;"POPLATEK MESICNE";930313
9640;1;"POPLATEK MESICNE";930313
3108;53;"POPLATEK MESICNE";930314
2508;34;"POPLATEK MESICNE";930314
2458;40;"POPLATEK TYDNE";930314
588;66;"POPLATEK MESICNE";930314
7231;10;"POPLATEK MESICNE";930314
6701;49;"POPLATEK TYDNE";930315
3883;72;"POPLATEK MESICNE";930315
222;37;"POPLATEK MESICNE";930315
2497;65;"POPLATEK MESICNE";930316
1372;1;"POPLATEK MESICNE";930316
3835;50;"POPLATEK MESICNE";930316
7445;64;"POPLATEK MESICNE";930318
2527;38;"POPLATEK MESICNE";930319
425;9;"POPLATEK MESICNE";930319
860;1;"POPLATEK MESICNE";930319
6034;6;"POPLATEK TYDNE";930319
11065;11;"POPLATEK MESICNE";930319
9883;1;"POPLATEK MESICNE";930319
115;68;"POPLATEK MESICNE";930319
1189;59;"POPLATEK MESICNE";930319
3675;64;"POPLATEK MESICNE";930320
3069;66;"POPLATEK MESICNE";930320
2762;19;"POPLATEK MESICNE";930320
892;70;"POPLATEK MESICNE";930320
1535;46;"POPLATEK MESICNE";930320
2618;60;"POPLATEK MESICNE";930321
2651;2;"POPLATEK MESICNE";930321
5442;34;"POPLATEK MESICNE";930322
1787;30;"POPLATEK TYDNE";930322
1397;17;"POPLATEK MESICNE";930322
3785;10;"POPLATEK MESICNE";930324
623;1;"POPLATEK MESICNE";930324
8260;31;"POPLATEK MESICNE";930324
3678;1;"POPLATEK MESICNE";930324
3001;1;"POPLATEK MESICNE";930324
655;53;"POPLATEK MESICNE";930324
4093;1;"POPLATEK MESICNE";930325
3260;68;"POPLATEK MESICNE";930325
2528;65;"POPLATEK MESICNE";930325
2011;75;"POPLATEK MESICNE";930325
1721;68;"POPLATEK MESICNE";930325
1332;59;"POPLATEK MESICNE";930325
1402;74;"POPLATEK MESICNE";930326
3283;68;"POPLATEK MESICNE";930326
3781;31;"POPLATEK MESICNE";930326
7203;71;"POPLATEK MESICNE";930326
1065;72;"POPLATEK MESICNE";930327
3076;54;"POPLATEK MESICNE";930327
4347;1;"POPLATEK MESICNE";930327
1157;7;"POPLATEK MESICNE";930327
9403;1;"POPLATEK TYDNE";930327
1874;9;"POPLATEK MESICNE";930327
1115;34;"POPLATEK MESICNE";930327
3586;59;"POPLATEK MESICNE";930327
62;47;"POPLATEK MESICNE";930328
1771;69;"POPLATEK MESICNE";930328
5483;13;"POPLATEK MESICNE";930328
8330;48;"POPLATEK MESICNE";930328
187;5;"POPLATEK MESICNE";930328
423;12;"POPLATEK MESICNE";930328
6425;31;"POPLATEK MESICNE";930329
2493;62;"POPLATEK MESICNE";930329
2896;29;"POPLATEK MESICNE";930330
2245;29;"POPLATEK MESICNE";930330
3923;52;"POPLATEK MESICNE";930330
1898;70;"POPLATEK MESICNE";930401
3367;1;"POPLATEK MESICNE";930401
3391;74;"POPLATEK MESICNE";930401
8519;23;"POPLATEK MESICNE";930402
1780;1;"POPLATEK MESICNE";930402
3915;65;"POPLATEK MESICNE";930402
3980;75;"POPLATEK MESICNE";930403
4350;63;"POPLATEK MESICNE";930404
686;41;"POPLATEK MESICNE";930404
362;15;"POPLATEK MESICNE";930404
299;77;"POPLATEK MESICNE";930405
2488;5;"POPLATEK MESICNE";930406
2985;71;"POPLATEK MESICNE";930406
385;5;"POPLATEK MESICNE";930407
2817;56;"POPLATEK MESICNE";930407
2056;58;"POPLATEK MESICNE";930407
2002;1;"POPLATEK MESICNE";930408
748;10;"POPLATEK MESICNE";930408
220;72;"POPLATEK MESICNE";930409
1422;68;"POPLATEK MESICNE";930409
1147;44;"POPLATEK MESICNE";930410
3788;70;"POPLATEK MESICNE";930410
1891;32;"POPLATEK MESICNE";930410
1239;1;"POPLATEK MESICNE";930410
8321;77;"POPLATEK MESICNE";930412
3213;51;"POPLATEK MESICNE";930412
2838;3;"POPLATEK TYDNE";930413
3644;38;"POPLATEK MESICNE";930413
4318;33;"POPLATEK TYDNE";930413
2648;51;"POPLATEK MESICNE";930413
2313;26;"POPLATEK TYDNE";930413
5428;24;"POPLATEK MESICNE";930414
7123;64;"POPLATEK PO OBRATU";930414
279;39;"POPLATEK MESICNE";930414
104;37;"POPLATEK MESICNE";930415
497;55;"POPLATEK MESICNE";930415
1152;45;"POPLATEK MESICNE";930415
83;26;"POPLATEK MESICNE";930416
2008;52;"POPLATEK MESICNE";930416
3327;45;"POPLATEK MESICNE";930416
5740;43;"POPLATEK MESICNE";930416
8132;5;"POPLATEK TYDNE";930417
10738;45;"POPLATEK TYDNE";930417
2216;74;"POPLATEK MESICNE";930417
1815;66;"POPLATEK MESICNE";930417
2823;57;"POPLATEK MESICNE";930418
4321;47;"POPLATEK MESICNE";930418
1773;33;"POPLATEK MESICNE";930419
7454;4;"POPLATEK MESICNE";930419
188;54;"POPLATEK MESICNE";930420
10973;18;"POPLATEK TYDNE";930420
2599;48;"POPLATEK MESICNE";930420
1166;11;"POPLATEK MESICNE";930421
504;73;"POPLATEK MESICNE";930421
1518;67;"POPLATEK MESICNE";930421
2189;75;"POPLATEK MESICNE";930422
6040;1;"POPLATEK MESICNE";930422
2876;52;"POPLATEK MESICNE";930422
1505;69;"POPLATEK MESICNE";930423
6897;48;"POPLATEK MESICNE";930423
4377;28;"POPLATEK MESICNE";930424
717;75;"POPLATEK MESICNE";930424
9707;70;"POPLATEK MESICNE";930424
2814;72;"POPLATEK MESICNE";930425
3068;59;"POPLATEK MESICNE";930425
1476;61;"POPLATEK MESICNE";930426
897;38;"POPLATEK MESICNE";930426
977;1;"POPLATEK MESICNE";930426
2639;17;"POPLATEK MESICNE";930426
1032;11;"POPLATEK MESICNE";930426
928;20;"POPLATEK MESICNE";930426
168;31;"POPLATEK MESICNE";930427
2175;1;"POPLATEK MESICNE";930427
10105;55;"POPLATEK MESICNE";930428
1392;60;"POPLATEK MESICNE";930428
3697;45;"POPLATEK MESICNE";930429
5313;40;"POPLATEK MESICNE";930429
2222;47;"POPLATEK MESICNE";930501
2641;7;"POPLATEK MESICNE";930502
5423;15;"POPLATEK MESICNE";930502
2609;73;"POPLATEK MESICNE";930503
5472;1;"POPLATEK MESICNE";930504
2932;72;"POPLATEK MESICNE";930504
4254;70;"POPLATEK MESICNE";930504
3965;31;"POPLATEK MESICNE";930504
10656;8;"POPLATEK MESICNE";930505
887;1;"POPLATEK MESICNE";930505
4743;64;"POPLATEK MESICNE";930505
1048;35;"POPLATEK MESICNE";930505
1671;6;"POPLATEK MESICNE";930505
1236;19;"POPLATEK MESICNE";930505
1822;30;"POPLATEK MESICNE";930505
3316;28;"POPLATEK MESICNE";930506
2037;20;"POPLATEK MESICNE";930506
10079;62;"POPLATEK MESICNE";930506
3999;35;"POPLATEK MESICNE";930506
551;77;"POPLATEK MESICNE";930507
1200;33;"POPLATEK MESICNE";930507
1161;66;"POPLATEK MESICNE";930508
5372;48;"POPLATEK MESICNE";930508
3050;60;"POPLATEK MESICNE";930508
1784;59;"POPLATEK MESICNE";930508
1603;1;"POPLATEK MESICNE";930509
1887;68;"POPLATEK MESICNE";930509
1644;1;"POPLATEK MESICNE";930509
1658;73;"POPLATEK MESICNE";930510
44;32;"POPLATEK MESICNE";930510
1039;70;"POPLATEK TYDNE";930510
1071;68;"POPLATEK TYDNE";930510
2410;54;"POPLATEK MESICNE";930511
2523;10;"POPLATEK MESICNE";930511
790;54;"POPLATEK MESICNE";930511
2583;62;"POPLATEK MESICNE";930511
1782;8;"POPLATEK MESICNE";930512
751;3;"POPLATEK MESICNE";930512
2061;24;"POPLATEK MESICNE";930512
8261;13;"POPLATEK MESICNE";930512
2321;35;"POPLATEK MESICNE";930513
1334;74;"POPLATEK MESICNE";930514
3649;54;"POPLATEK MESICNE";930514
555;24;"POPLATEK MESICNE";930515
3173;39;"POPLATEK MESICNE";930515
863;71;"POPLATEK MESICNE";930516
3181;42;"POPLATEK MESICNE";930516
3210;1;"POPLATEK MESICNE";930517
489;16;"POPLATEK MESICNE";930517
947;59;"POPLATEK MESICNE";930517
3284;64;"POPLATEK MESICNE";930517
1610;52;"POPLATEK MESICNE";930517
4225;55;"POPLATEK MESICNE";930518
1412;64;"POPLATEK MESICNE";930518
1937;36;"POPLATEK MESICNE";930518
991;39;"POPLATEK MESICNE";930518
1180;20;"POPLATEK MESICNE";930519
2758;70;"POPLATEK MESICNE";930519
2711;58;"POPLATEK MESICNE";930519
1652;74;"POPLATEK MESICNE";930520
3099;70;"POPLATEK MESICNE";930520
11111;1;"POPLATEK MESICNE";930520
9591;74;"POPLATEK MESICNE";930520
9828;11;"POPLATEK MESICNE";930520
5385;44;"POPLATEK TYDNE";930521
23;30;"POPLATEK MESICNE";930522
2645;54;"POPLATEK MESICNE";930522
2991;19;"POPLATEK MESICNE";930522
3469;76;"POPLATEK MESICNE";930522
1851;55;"POPLATEK MESICNE";930523
3844;67;"POPLATEK MESICNE";930523
1442;23;"POPLATEK MESICNE";930523
3064;40;"POPLATEK MESICNE";930523
3558;4;"POPLATEK MESICNE";930523
1534;1;"POPLATEK MESICNE";930524
334;1;"POPLATEK MESICNE";930524
1786;1;"POPLATEK MESICNE";930525
1272;40;"POPLATEK TYDNE";930525
2436;67;"POPLATEK MESICNE";930525
3796;53;"POPLATEK MESICNE";930525
119;27;"POPLATEK MESICNE";930525
3063;72;"POPLATEK MESICNE";930526
18;43;"POPLATEK TYDNE";930526
11320;44;"POPLATEK MESICNE";930526
3888;39;"POPLATEK MESICNE";930527
1584;30;"POPLATEK MESICNE";930527
5546;43;"POPLATEK MESICNE";930528
2029;55;"POPLATEK MESICNE";930529
10911;1;"POPLATEK TYDNE";930529
2467;33;"POPLATEK MESICNE";930529
2962;1;"POPLATEK MESICNE";930530
165;25;"POPLATEK MESICNE";930601
1617;45;"POPLATEK MESICNE";930601
327;54;"POPLATEK MESICNE";930602
2068;21;"POPLATEK MESICNE";930602
4448;60;"POPLATEK MESICNE";930602
640;32;"POPLATEK MESICNE";930602
510;1;"POPLATEK TYDNE";930602
2534;61;"POPLATEK MESICNE";930603
1018;7;"POPLATEK MESICNE";930603
1285;65;"POPLATEK MESICNE";930604
3670;27;"POPLATEK MESICNE";930604
1743;51;"POPLATEK MESICNE";930604
3072;8;"POPLATEK MESICNE";930605
2146;31;"POPLATEK MESICNE";930605
4576;27;"POPLATEK MESICNE";930605
3258;53;"POPLATEK MESICNE";930605
2176;67;"POPLATEK MESICNE";930606
8934;51;"POPLATEK MESICNE";930606
1999;70;"POPLATEK MESICNE";930606
2741;15;"POPLATEK MESICNE";930607
4427;32;"POPLATEK MESICNE";930607
3682;70;"POPLATEK MESICNE";930607
2862;33;"POPLATEK MESICNE";930607
3032;5;"POPLATEK MESICNE";930607
701;69;"POPLATEK MESICNE";930608
6281;56;"POPLATEK MESICNE";930608
306;16;"POPLATEK MESICNE";930608
1207;67;"POPLATEK MESICNE";930608
1247;25;"POPLATEK MESICNE";930608
5343;64;"POPLATEK MESICNE";930608
5129;68;"POPLATEK MESICNE";930608
3713;14;"POPLATEK TYDNE";930608
2327;19;"POPLATEK MESICNE";930608
774;1;"POPLATEK MESICNE";930608
1990;1;"POPLATEK MESICNE";930609
2388;30;"POPLATEK MESICNE";930609
3566;21;"POPLATEK MESICNE";930609
10266;54;"POPLATEK MESICNE";930610
3771;22;"POPLATEK MESICNE";930611
1978;57;"POPLATEK TYDNE";930611
2022;72;"POPLATEK MESICNE";930611
3542;49;"POPLATEK MESICNE";930611
1515;11;"POPLATEK MESICNE";930611
4171;28;"POPLATEK MESICNE";930612
433;20;"POPLATEK MESICNE";930612
1373;47;"POPLATEK MESICNE";930612
3246;54;"POPLATEK MESICNE";930614
1475;1;"POPLATEK TYDNE";930614
3133;66;"POPLATEK MESICNE";930614
2779;73;"POPLATEK MESICNE";930615
135;75;"POPLATEK MESICNE";930615
446;50;"POPLATEK MESICNE";930615
9093;47;"POPLATEK MESICNE";930616
432;46;"POPLATEK MESICNE";930616
2880;71;"POPLATEK MESICNE";930616
5767;72;"POPLATEK MESICNE";930616
1998;1;"POPLATEK MESICNE";930617
2554;36;"POPLATEK MESICNE";930618
2933;10;"POPLATEK MESICNE";930618
773;15;"POPLATEK MESICNE";930619
4894;14;"POPLATEK MESICNE";930620
3969;39;"POPLATEK MESICNE";930620
1277;31;"POPLATEK MESICNE";930620
5120;1;"POPLATEK MESICNE";930621
738;34;"POPLATEK MESICNE";930621
1299;1;"POPLATEK MESICNE";930621
148;8;"POPLATEK MESICNE";930621
899;72;"POPLATEK MESICNE";930621
3521;75;"POPLATEK MESICNE";930622
3786;21;"POPLATEK MESICNE";930622
886;1;"POPLATEK MESICNE";930623
5228;77;"POPLATEK PO OBRATU";930623
702;12;"POPLATEK MESICNE";930623
300;1;"POPLATEK MESICNE";930623
1451;64;"POPLATEK MESICNE";930624
2940;54;"POPLATEK MESICNE";930624
1837;23;"POPLATEK MESICNE";930624
3954;22;"POPLATEK MESICNE";930625
885;1;"POPLATEK MESICNE";930625
2697;8;"POPLATEK MESICNE";930626
8129;45;"POPLATEK MESICNE";930626
1930;3;"POPLATEK MESICNE";930627
2411;69;"POPLATEK MESICNE";930627
3775;19;"POPLATEK MESICNE";930627
9034;1;"POPLATEK MESICNE";930628
902;74;"POPLATEK MESICNE";930629
630;71;"POPLATEK MESICNE";930629
3096;68;"POPLATEK MESICNE";930629
2552;52;"POPLATEK MESICNE";930701
3435;59;"POPLATEK MESICNE";930701
5215;55;"POPLATEK MESICNE";930701
36;1;"POPLATEK MESICNE";930701
2687;76;"POPLATEK MESICNE";930701
1861;54;"POPLATEK MESICNE";930702
2464;33;"POPLATEK PO OBRATU";930702
2736;72;"POPLATEK MESICNE";930702
1145;31;"POPLATEK MESICNE";930703
2298;31;"POPLATEK MESICNE";930703
929;54;"POPLATEK MESICNE";930703
381;68;"POPLATEK MESICNE";930704
3778;52;"POPLATEK MESICNE";930704
1118;48;"POPLATEK MESICNE";930704
4352;2;"POPLATEK MESICNE";930705
1322;17;"POPLATEK MESICNE";930705
1852;35;"POPLATEK MESICNE";930705
8173;11;"POPLATEK MESICNE";930705
2705;63;"POPLATEK PO OBRATU";930705
9472;1;"POPLATEK TYDNE";930706
368;77;"POPLATEK MESICNE";930706
1425;76;"POPLATEK MESICNE";930706
8027;44;"POPLATEK TYDNE";930707
3261;1;"POPLATEK MESICNE";930707
35;75;"POPLATEK MESICNE";930707
2186;63;"POPLATEK MESICNE";930707
1566;73;"POPLATEK MESICNE";930707
78;74;"POPLATEK MESICNE";930707
3939;70;"POPLATEK MESICNE";930708
2584;50;"POPLATEK MESICNE";930708
2336;39;"POPLATEK MESICNE";930708
2078;62;"POPLATEK MESICNE";930708
3882;10;"POPLATEK MESICNE";930709
4159;74;"POPLATEK MESICNE";930709
907;41;"POPLATEK MESICNE";930709
1411;54;"POPLATEK MESICNE";930709
1684;32;"POPLATEK TYDNE";930710
3748;1;"POPLATEK MESICNE";930710
2213;68;"POPLATEK MESICNE";930711
1062;6;"POPLATEK MESICNE";930711
273;24;"POPLATEK PO OBRATU";930711
10320;68;"POPLATEK MESICNE";930711
1416;66;"POPLATEK TYDNE";930712
3277;36;"POPLATEK MESICNE";930712
1892;28;"POPLATEK MESICNE";930713
3413;70;"POPLATEK MESICNE";930713
3654;47;"POPLATEK MESICNE";930713
3000;28;"POPLATEK MESICNE";930714
3955;64;"POPLATEK MESICNE";930714
1544;69;"POPLATEK MESICNE";930714
9703;68;"POPLATEK MESICNE";930715
234;73;"POPLATEK MESICNE";930715
3241;44;"POPLATEK MESICNE";930716
3465;1;"POPLATEK MESICNE";930716
3152;1;"POPLATEK MESICNE";930716
1497;1;"POPLATEK MESICNE";930716
3078;1;"POPLATEK MESICNE";930716
400;28;"POPLATEK MESICNE";930717
1902;50;"POPLATEK TYDNE";930717
757;50;"POPLATEK MESICNE";930719
1116;1;"POPLATEK MESICNE";930720
5700;42;"POPLATEK MESICNE";930720
3267;64;"POPLATEK MESICNE";930721
3222;4;"POPLATEK MESICNE";930721
408;41;"POPLATEK MESICNE";930721
2818;40;"POPLATEK MESICNE";930721
6273;38;"POPLATEK MESICNE";930721
2513;70;"POPLATEK MESICNE";930722
3493;63;"POPLATEK MESICNE";930722
1201;61;"POPLATEK MESICNE";930723
4478;70;"POPLATEK MESICNE";930723
2915;57;"POPLATEK MESICNE";930723
9833;20;"POPLATEK MESICNE";930724
2253;74;"POPLATEK MESICNE";930724
1069;70;"POPLATEK MESICNE";930724
207;2;"POPLATEK MESICNE";930725
3212;70;"POPLATEK MESICNE";930725
4035;1;"POPLATEK MESICNE";930725
1268;74;"POPLATEK MESICNE";930725
3287;18;"POPLATEK MESICNE";930726
6226;74;"POPLATEK TYDNE";930726
2123;64;"POPLATEK MESICNE";930726
3982;26;"POPLATEK MESICNE";930727
2701;71;"POPLATEK MESICNE";930727
3629;48;"POPLATEK MESICNE";930727
2841;71;"POPLATEK MESICNE";930727
563;53;"POPLATEK MESICNE";930727
2732;5;"POPLATEK MESICNE";930727
1297;70;"POPLATEK MESICNE";930727
7485;39;"POPLATEK MESICNE";930728
2088;4;"POPLATEK MESICNE";930728
225;1;"POPLATEK MESICNE";930728
1630;72;"POPLATEK MESICNE";930728
403;1;"POPLATEK MESICNE";930729
445;63;"POPLATEK TYDNE";930729
186;1;"POPLATEK TYDNE";930729
3720;36;"POPLATEK MESICNE";930730
574;70;"POPLATEK MESICNE";930730
1429;57;"POPLATEK MESICNE";930730
3580;43;"POPLATEK MESICNE";930801
7819;38;"POPLATEK MESICNE";930801
759;23;"POPLATEK MESICNE";930801
6363;74;"POPLATEK MESICNE";930801
3738;51;"POPLATEK MESICNE";930801
4000;7;"POPLATEK MESICNE";930802
9041;1;"POPLATEK MESICNE";930803
2620;22;"POPLATEK MESICNE";930803
3609;28;"POPLATEK MESICNE";930803
1382;48;"POPLATEK MESICNE";930803
930;41;"POPLATEK MESICNE";930803
1925;12;"POPLATEK MESICNE";930803
1834;62;"POPLATEK MESICNE";930803
1507;35;"POPLATEK MESICNE";930803
7857;75;"POPLATEK MESICNE";930804
6636;72;"POPLATEK TYDNE";930804
601;29;"POPLATEK MESICNE";930804
