"client_id";"birth_number";"district_id"
588;"606020";61
589;"610917";45
590;"490215";44
591;"746029";65
592;"650718";26
593;"545710";60
596;"481024";69
597;"430222";55
598;"701231";1
599;"775518";1
601;"660312";56
602;"655116";56
603;"665309";13
604;"655731";1
605;"705827";1
606;"495125";10
607;"640330";64
608;"720831";67
609;"620902";52
610;"795810";74
611;"521013";36
612;"606110";36
613;"775810";1
614;"475203";14
615;"495913";68
616;"750101";58
617;"740314";70
618;"325316";57
619;"200907";6
620;"185213";6
621;"390317";54
622;"316123";74
623;"250904";24
624;"325726";24
625;"786124";60
626;"800413";9
627;"720411";17
628;"705527";17
629;"760310";16
630;"520303";61
631;"565322";70
632;"460316";67
633;"385612";67
635;"275629";17
636;"350217";17
637;"706215";39
638;"615203";54
639;"780802";31
640;"790415";26
641;"625704";40
642;"631025";40
643;"495613";1
644;"615423";35
645;"251221";14
646;"225929";34
647;"290406";34
648;"355928";70
649;"785502";13
651;"765127";54
652;"381208";61
653;"306121";1
654;"425517";64
655;"421210";32
656;"560606";1
657;"265710";8
658;"261221";8
659;"651207";24
660;"230322";16
661;"195115";16
662;"450807";5
663;"230120";24
664;"805319";77
665;"325405";62
666;"820523";26
667;"815720";26
668;"426225";1
669;"566219";12
670;"590121";1
671;"715227";10
672;"296109";46
673;"391029";36
674;"275111";11
675;"751112";50
676;"530207";70
677;"630524";5
678;"335528";39
679;"400319";8
680;"405509";8
681;"770115";15
682;"791021";18
683;"455829";76
684;"765410";3
685;"306213";72
686;"716003";32
687;"750128";32
688;"540504";1
689;"640802";70
690;"421107";38
691;"445113";38
692;"365111";74
693;"350317";74
694;"360228";29
695;"550627";28
696;"526201";28
697;"740501";1
698;"540227";75
699;"225422";26
700;"291120";12
702;"686107";31
703;"590426";4
704;"750501";54
705;"381210";19
706;"480805";1
707;"411214";1
708;"776127";50
709;"341229";1
710;"251128";23
711;"635816";48
712;"621204";54
713;"805329";20
714;"701008";31
715;"525115";1
716;"546204";1
717;"680502";54
718;"605228";54
719;"740809";46
720;"540906";29
721;"400215";43
722;"706125";62
723;"575726";12
724;"535202";65
725;"561211";75
726;"350213";16
727;"305720";32
728;"320120";32
729;"695317";63
730;"730814";63
731;"795122";74
732;"780705";74
733;"780728";46
734;"855114";46
735;"731126";1
736;"775426";1
737;"521104";74
738;"200326";25
739;"420416";72
740;"231107";55
741;"410709";74
742;"516015";1
743;"410217";1
744;"400718";26
745;"665214";52
746;"620416";52
747;"535820";24
748;"361015";25
749;"335729";25
750;"565929";70
751;"590309";70
752;"441220";72
753;"405924";72
754;"475604";63
755;"471121";72
756;"200513";31
757;"706220";71
758;"615726";68
759;"550520";29
760;"365825";57
762;"370420";21
763;"275824";75
764;"556013";49
765;"691231";65
766;"265703";1
767;"230616";1
768;"315923";32
769;"771215";40
772;"441210";64
773;"351030";4
774;"730303";70
775;"406130";51
776;"535503";1
777;"610520";1
778;"400604";13
779;"445612";69
780;"240226";3
781;"450920";72
782;"635318";5
783;"715325";27
784;"641228";27
785;"340909";63
786;"780906";53
787;"471208";3
788;"740903";47
789;"310921";4
790;"675509";63
791;"505929";68
793;"780204";21
794;"795716";21
796;"190830";1
797;"480127";8
798;"405212";27
799;"360219";27
803;"510215";35
804;"565123";35
806;"800422";60
807;"696021";53
808;"631128";31
809;"191015";49
810;"455924";58
811;"400528";58
812;"401206";39
813;"640129";70
814;"591001";19
815;"646027";22
816;"585201";17
818;"660427";54
819;"580708";74
820;"606106";74
821;"480512";49
822;"595508";37
823;"561024";41
824;"520905";27
825;"770402";74
826;"780123";1
827;"655904";10
828;"581210";10
829;"570519";24
830;"480827";69
831;"480502";2
832;"236223";67
833;"600611";5
834;"221217";54
835;"436020";28
836;"480614";28
837;"741014";71
838;"685204";71
839;"555518";47
840;"370426";20
841;"810210";69
842;"335703";12
843;"575903";54
844;"450114";22
845;"535130";22
846;"491201";35
847;"791225";49
849;"395606";26
850;"690921";19
851;"190616";25
852;"165604";25
853;"490602";70
854;"416102";72
855;"300128";58
856;"190122";23
857;"480221";32
858;"595329";47
859;"685729";1
860;"671208";1
861;"565913";1
862;"520105";30
863;"686129";54
864;"530327";11
865;"466103";11
866;"756124";38
870;"570506";70
871;"740311";76
872;"630222";35
873;"440105";60
874;"525905";14
875;"561207";14
876;"601125";1
877;"275121";5
878;"200417";5
879;"436208";38
880;"600217";49
881;"755222";5
882;"335909";70
883;"205106";75
884;"181014";75
885;"230208";34
886;"480202";34
887;"736128";66
888;"731026";28
889;"816024";54
890;"190330";77
891;"310131";33
892;"225524";42
893;"356023";43
894;"340818";75
895;"700703";39
896;"735424";36
897;"810325";36
898;"435427";38
899;"440213";38
900;"770410";73
901;"191221";39
902;"500815";23
903;"340306";31
904;"320208";1
905;"401023";38
906;"780616";65
907;"480311";51
908;"615307";51
909;"750907";23
910;"610927";1
911;"391128";43
912;"201029";76
913;"381118";1
914;"215119";1
915;"750503";12
916;"580629";3
917;"735916";25
918;"641223";26
921;"545213";7
922;"725816";22
923;"780822";22
924;"530712";1
925;"590813";54
926;"810122";1
927;"741026";1
928;"516010";66
929;"350423";30
930;"595825";68
931;"680607";16
932;"470927";3
933;"785311";33
934;"820819";33
935;"465517";42
936;"430730";42
937;"311114";1
938;"445807";59
939;"520803";21
940;"600811";53
941;"351005";10
942;"315902";12
943;"360926";12
944;"701218";39
945;"775110";39
946;"510806";54
948;"240422";49
949;"760727";3
950;"655412";76
951;"600917";76
952;"515501";63
953;"371017";25
954;"426020";1
955;"700128";57
956;"661021";1
957;"416223";56
958;"420504";56
959;"625912";11
960;"575413";16
961;"316004";15
962;"660219";19
963;"666217";64
964;"536021";10
965;"726201";13
966;"780902";13
967;"790620";76
968;"570217";69
970;"570329";36
971;"195101";46
972;"170506";46
973;"706006";14
974;"630624";14
975;"595712";1
976;"556119";16
977;"265510";76
978;"685609";56
979;"661118";56
980;"610930";40
981;"600628";5
984;"490703";20
985;"475113";20
986;"550516";74
987;"520520";60
988;"396001";40
989;"330815";40
990;"611224";71
991;"410627";32
992;"480521";19
993;"696031";44
994;"710427";36
995;"736030";36
996;"805626";1
997;"501111";59
998;"535628";59
999;"665901";74
1000;"611027";74
1001;"470414";44
1002;"445308";42
1003;"376031";31
1004;"570925";3
1006;"425628";46
1007;"380105";46
1008;"560706";6
1009;"625427";33
1010;"550816";33
1011;"390713";16
1012;"665213";70
1013;"730312";70
1014;"310208";1
1015;"340313";62
1016;"405721";62
1017;"435212";6
1018;"450228";53
1019;"466222";14
1020;"775510";72
1021;"770805";2
1022;"400723";31
1023;"381228";1
1024;"560329";25
1025;"640708";15
1026;"790812";57
1027;"406104";1
1028;"341002";1
1029;"545316";1
1030;"471011";1
1031;"686211";2
1032;"386030";1
1033;"371014";1
1034;"746111";52
1035;"715328";13
1036;"761206";13
1037;"656101";1
1038;"615923";69
1039;"806011";70
1040;"600617";1
1041;"610705";72
1042;"665925";17
1043;"631116";17
1044;"715913";9
1045;"476224";60
1046;"750824";1
1047;"635711";16
1048;"746003";70
1049;"421111";1
1050;"715701";27
1051;"715826";73
1052;"640311";56
1053;"585603";56
1054;"240820";63
1055;"190517";4
1056;"630619";1
1057;"390221";52
1058;"755801";9
1059;"600603";26
1060;"576217";26
1062;"750108";16
1063;"765612";16
1064;"515203";1
1065;"571126";2
1066;"401018";1
1067;"520514";1
1068;"266020";13
1069;"385221";54
1070;"381202";54
1071;"250125";43
1072;"666208";60
1073;"240410";34
1074;"285825";34
1075;"345604";65
1076;"795511";53
1077;"200623";46
1078;"786215";24
1079;"610715";3
1080;"506006";54
1081;"701216";71
1082;"670223";9
1083;"371215";48
1084;"445409";48
1085;"326219";60
1086;"730504";74
1087;"785730";74
1088;"695823";47
1089;"391209";1
1090;"395620";35
1091;"405627";59
1092;"625720";41
1093;"765728";62
1094;"606004";30
1095;"540216";30
1096;"265303";1
1097;"300902";1
1098;"485910";60
1099;"796121";65
1100;"510704";59
1101;"460622";74
1102;"350129";72
1103;"510818";1
1104;"555209";1
1105;"420103";56
1106;"405225";56
1107;"610426";60
1108;"556222";62
1109;"315901";58
1110;"285324";10
1111;"790604";61
1112;"305725";13
1113;"760820";11
1114;"800618";59
1115;"205824";36
1116;"735419";69
1117;"766101";20
1118;"691103";20
1119;"805105";54
1120;"736021";41
1121;"390302";59
1122;"210218";20
1123;"225826";20
1124;"280412";21
1125;"345330";9
1126;"351023";9
1127;"741112";23
1128;"300716";7
1129;"310924";43
1130;"406126";70
1131;"476028";55
1132;"480321";55
1133;"585915";37
1134;"591001";37
1135;"520721";8
1136;"765918";9
1137;"775305";1
1138;"705930";70
1139;"730922";70
1140;"460224";18
1141;"415422";21
1142;"466119";59
1143;"460515";59
1145;"685914";58
1146;"651114";54
1147;"300512";3
1148;"410515";41
1149;"765925";14
1150;"455624";74
1151;"730306";59
1152;"810312";74
1153;"806115";70
1154;"240131";72
1155;"225710";72
1156;"336111";1
1157;"586230";4
1158;"545821";1
1159;"440203";64
1160;"385728";64
1161;"730525";7
1162;"755219";26
1163;"640828";20
1164;"595914";15
1165;"426002";15
1166;"590627";74
1167;"545317";74
1168;"780531";19
1169;"415124";18
1170;"770428";12
1171;"745328";46
1172;"235613";54
1173;"220602";54
1174;"705313";29
1175;"251025";1
1176;"185831";1
1177;"395621";77
1178;"716004";1
1179;"306005";1
1180;"441006";21
1181;"391112";1
1182;"466016";66
1183;"421129";54
1186;"475805";2
1187;"615906";32
1188;"680919";32
1189;"325215";74
1190;"765412";15
1191;"770602";15
1192;"255101";10
1193;"260129";19
1194;"395614";17
1195;"395122";39
1196;"430416";22
1197;"666002";6
1198;"755217";72
1199;"766024";64
1200;"316117";47
1201;"450910";54
1202;"806011";47
1204;"746109";77
1206;"570621";50
1207;"395917";28
1208;"755901";70
1209;"575409";36
1210;"611012";6
1211;"780714";1
1212;"275919";13
1213;"660428";1
1214;"401115";61
1215;"440506";45
1216;"455612";65
1217;"370417";59
1218;"800527";74
1219;"440731";1
1220;"536216";40
1221;"735518";14
1222;"396130";7
1223;"555813";14
1224;"380512";56
1225;"460821";42
1226;"515414";33
1227;"551002";33
1228;"495828";21
1229;"710202";19
1231;"655927";20
1232;"590413";20
1233;"421022";68
1234;"750115";23
1235;"795712";23
1236;"675428";26
1237;"231107";57
1238;"350901";74
1239;"765909";11
1240;"765824";32
1241;"426217";73
1242;"445821";73
1243;"746005";11
1244;"640502";1
1245;"790813";64
1246;"621119";70
1247;"696009";70
1248;"710624";19
1250;"525801";43
1251;"590530";1
1252;"535819";1
1253;"675828";14
1254;"395831";3
1255;"665807";1
1256;"556113";46
1257;"285901";35
1258;"240920";35
1259;"660929";18
1260;"455103";57
1261;"510928";57
1262;"520403";35
1263;"595225";35
1264;"766003";61
1265;"586221";57
1266;"526124";71
1267;"545211";29
1268;"490330";29
1269;"486231";1
1270;"300516";13
1271;"351129";47
1272;"440415";8
1273;"780615";6
1274;"760125";44
1275;"516010";1
1276;"425426";68
1277;"310407";70
1278;"780912";72
1279;"560711";16
1280;"520508";34
1281;"496228";34
1282;"361127";52
1283;"395209";66
1284;"430804";66
1285;"391126";62
1286;"505313";52
1287;"445809";65
1288;"720520";73
1289;"460918";59
1290;"760129";35
1291;"645418";1
1292;"770428";14
1293;"270129";1
1294;"305529";1
1295;"445209";74
1296;"595801";55
1297;"185128";64
1298;"210315";64
1299;"206016";2
1300;"791027";45
1303;"405816";42
1304;"360728";37
1305;"455428";55
1306;"226008";32
1307;"530408";74
1308;"540218";69
1309;"750617";1
1310;"775924";41
1311;"566218";54
1312;"355403";35
1313;"701120";54
1314;"755609";54
1315;"230226";34
1316;"466113";67
1317;"450518";67
1318;"310310";47
1321;"776109";35
1322;"455922";4
1323;"440106";70
1324;"565807";66
1325;"450919";39
1326;"565512";55
1327;"636231";20
1328;"375605";42
1329;"180216";26
1330;"680917";66
1331;"631124";54
1332;"576127";5
1333;"490420";48
1334;"780206";8
1335;"615125";1
1336;"621104";1
1337;"795329";56
1338;"830726";56
1339;"590504";22
1340;"395320";68
1341;"625617";69
1343;"395816";1
1344;"350218";1
1345;"680522";32
1346;"540829";13
1347;"700306";13
1348;"755607";13
1349;"685107";26
1350;"590428";1
1351;"515924";1
1352;"715401";54
1353;"590213";27
1354;"210114";64
1355;"765201";35
1356;"320918";1
1359;"515904";1
1360;"460819";1
1361;"225929";1
1362;"290103";1
1363;"796227";6
1364;"331228";1
1365;"385223";1
1366;"805302";12
1367;"656027";60
1368;"571230";60
1369;"781023";41
1370;"655111";34
1371;"486022";49
1372;"766207";28
1373;"755208";74
1375;"770127";69
1376;"580903";18
1377;"515723";18
1378;"416125";74
1379;"370218";74
1380;"535729";44
1382;"796123";18
1383;"821005";29
1384;"535424";40
1385;"530830";22
1386;"565809";22
1387;"775222";1
1388;"625906";5
1389;"275304";43
1390;"795527";59
1391;"651122";41
1392;"320206";50
1393;"345501";50
1394;"425822";49
1395;"411018";49
1396;"465314";39
1397;"216225";66
1401;"810724";35
1402;"361125";44
1403;"445102";44
1404;"686220";11
1406;"486112";29
1407;"410804";29
1408;"690807";49
1409;"510430";25
1410;"440203";18
1411;"395806";18
1412;"791105";6
1413;"695716";11
1414;"746113";70
1416;"271202";19
1417;"666112";27
1418;"745616";41
1419;"185125";74
1420;"160120";74
1421;"565210";20
1422;"765223";69
1423;"820411";69
1424;"520105";8
1425;"680827";12
1426;"645430";12
1427;"656216";14
1428;"200423";12
1429;"275904";12
1430;"825529";64
1431;"306108";55
1432;"615817";16
1433;"595710";72
1434;"670325";72
1435;"530625";52
1438;"636025";29
1439;"740910";29
1440;"780117";1
1441;"316205";42
1442;"330418";42
1443;"350125";29
1444;"425714";29
1445;"410724";68
1446;"540729";70
1447;"525621";70
1448;"576009";50
1449;"490629";41
1450;"695317";61
1452;"405528";72
1453;"665329";29
1454;"251003";73
1455;"275902";73
1456;"280424";70
1457;"346012";70
1458;"380408";67
1459;"760908";4
1460;"335313";23
1461;"691221";28
1462;"410302";49
1463;"365126";70
1464;"285401";36
1465;"310106";36
1466;"530822";39
1467;"240930";65
1468;"405416";77
1469;"665914";54
1470;"420504";1
1471;"385915";1
1472;"675910";1
1473;"316206";1
1474;"716215";45
1475;"320331";19
1476;"701130";70
1478;"690821";4
1479;"560622";1
1480;"430528";69
1481;"336123";62
1482;"505328";46
1483;"515510";1
1484;"520618";1
1485;"780514";7
1486;"745913";7
1487;"765827";48
1488;"610109";31
1489;"280124";6
1490;"280420";42
1491;"820421";19
1492;"685509";9
1493;"221229";1
1494;"155322";1
1495;"315210";1
1496;"425608";1
1497;"485803";53
1498;"410209";53
1499;"516129";74
1500;"811212";1
1501;"460122";68
1502;"730124";68
1503;"220901";58
1504;"185116";58
1505;"715625";65
1506;"310625";22
1507;"296122";22
1508;"545630";67
1509;"425419";62
1510;"485130";34
1511;"625306";13
1512;"425811";5
1513;"590821";74
1514;"570802";68
1516;"466017";38
1517;"561002";66
1518;"605728";3
1519;"590706";3
1520;"561105";72
1521;"791010";5
1522;"685514";52
1523;"315830";29
1524;"625113";30
1525;"430309";1
1526;"355315";1
1527;"341218";49
1528;"640320";57
1529;"725620";43
1530;"455806";74
1531;"605628";52
1532;"621030";52
1533;"601222";55
1534;"526222";17
1535;"361028";40
1536;"676013";37
1537;"791207";54
1539;"231119";32
1540;"371107";36
1541;"335306";36
1542;"191208";31
1543;"275602";31
1546;"300413";28
1547;"276220";28
1548;"230304";70
1549;"286114";70
1550;"466121";8
1554;"441215";55
1555;"500914";30
1556;"500402";66
1557;"596214";35
1558;"275125";11
1559;"401020";72
1561;"235916";1
1562;"190814";1
1563;"780806";3
1564;"475625";40
1565;"600519";71
1566;"666020";15
1567;"300419";50
1568;"275629";50
1569;"565717";54
1570;"580617";54
1571;"676015";7
1572;"636212";1
1574;"790218";18
1575;"236006";55
1576;"190502";55
1577;"440419";23
1578;"715815";40
1579;"631013";27
1580;"685618";1
1581;"635415";56
1582;"340214";54
1583;"725108";1
1584;"625129";1
1585;"350720";60
1586;"345112";60
1587;"280505";23
1588;"501029";45
1589;"516127";48
1590;"405810";13
1591;"535707";42
1592;"280411";56
1593;"255531";56
1594;"390929";56
1595;"546216";56
1596;"786022";58
1597;"560510";60
1598;"250425";67
1599;"641008";43
1600;"655615";43
1601;"695329";42
1602;"681230";42
1603;"680827";26
1604;"695721";26
1605;"805921";52
1606;"820902";65
1607;"415526";8
1608;"411111";53
1609;"445530";53
1610;"425423";68
1611;"636202";59
1612;"590630";59
1613;"610115";50
1614;"380518";21
1615;"525428";74
1616;"380523";54
1617;"505430";5
1618;"796207";17
1619;"425127";74
1620;"360515";74
1621;"525405";76
1622;"501012";52
1623;"630709";36
1624;"650910";9
1625;"735712";9
1628;"575325";12
1629;"660901";28
1630;"645219";28
1631;"760430";74
1632;"435220";8
1633;"725828";55
1634;"691110";55
1635;"305902";75
1636;"320912";75
1637;"431020";21
1638;"545130";40
1639;"595501";1
1640;"535613";51
1641;"235128";31
1642;"596010";1
1643;"765417";39
1644;"760606";56
1645;"615310";39
1646;"660317";8
1647;"785326";71
1648;"520312";46
1649;"505316";46
1650;"530329";1
1651;"665710";11
1653;"440619";42
1654;"631208";60
1655;"720204";74
1656;"685618";22
1657;"351002";32
1658;"295821";52
1659;"376215";1
1660;"826211";1
1661;"535416";47
1662;"670907";53
1663;"570429";19
1664;"186110";64
1665;"120302";64
1666;"410831";1
1667;"405813";1
1668;"495817";20
1669;"521025";47
1670;"610507";53
1671;"315915";57
1672;"280107";57
1673;"720709";48
1674;"206027";11
1675;"400215";74
1676;"530203";53
1677;"465907";53
1679;"425417";67
1680;"755328";29
1681;"401125";34
1682;"560907";69
1683;"516224";15
1684;"461025";15
1685;"445421";61
1686;"476108";1
1687;"470227";1
1688;"230810";32
1689;"361204";1
1690;"475817";46
1691;"785208";21
1692;"720207";62
1693;"805706";45
1694;"791227";45
1696;"235321";1
1697;"645110";55
1698;"671121";55
1699;"550311";17
1700;"490309";7
1701;"455611";7
1702;"735407";53
1703;"180111";50
1704;"146003";50
1705;"465701";19
1706;"440719";19
1707;"510218";10
1709;"526213";74
1710;"440211";54
1711;"625614";64
1712;"640101";64
1713;"350421";65
1714;"450522";58
1717;"795307";73
1718;"380727";75
1719;"700809";35
1720;"345224";33
1721;"340702";33
1722;"331001";68
1723;"815228";71
1724;"346021";68
1725;"595118";76
1726;"520603";76
1727;"510121";32
1728;"465818";32
1729;"470516";76
1730;"321215";40
1731;"686130";17
1733;"745720";57
1734;"751110";26
1735;"765531";26
1736;"795417";41
1737;"550730";27
1738;"635125";27
1741;"320702";70
1742;"540606";1
1743;"590727";3
1744;"696228";50
1745;"596018";23
1746;"595910";11
1747;"560220";11
1748;"761231";64
1749;"286117";50
1750;"641231";23
1751;"590124";54
1752;"781123";70
1753;"795226";60
1754;"790529";57
1755;"655818";65
1756;"360708";1
