Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2042,12639,66983,52727,11108,65235,55003,1693,720,-320,12639,69705,55132,12639,2661,821,1519,56035,21915,1455,30298,9327,10338,20157,12888,17002,87480,30325
2043,5415,76653,65494,4896,76543,68160,852,-1757,-2046,5415,79831,68600,5415,3157,1213,606,51535,20584,569,28294,9658,4755,22347,16320,6582,95238,47866
2044,5038,60830,51162,4415,62250,55385,796,-1873,-1576,5038,63337,53634,5038,2482,994,562,164143,26753,525,153623,11501,4130,16893,12266,6479,78060,38707
2045,4044,94524,51152,3015,79262,54014,1108,5883,3074,4044,98487,53672,4044,3717,826,442,286694,38664,434,244292,16390,3161,37486,14558,4482,191057,69884
2046,16265,76775,54897,12688,75650,60832,3928,2105,74,16265,80528,57852,16265,3544,1013,1552,113355,33494,1524,82162,14651,12895,26238,15333,18533,154829,65176
2047,7678,91443,62417,5906,83707,65773,1822,2001,111,7678,96022,65986,7678,4421,1086,800,179081,29618,768,137648,13564,6262,33025,17400,8850,220196,68766
2048,5021,72494,54678,4311,70619,57762,819,89,-450,5021,75395,57180,5021,2869,898,581,65986,23866,548,39838,9995,4117,22836,14236,6358,108822,43450
2049,6790,69884,53132,5804,67879,57260,1060,867,-200,6790,72798,55598,6790,2856,885,766,54959,22440,726,28617,8850,5520,22002,13353,8892,101913,41253
2050,5409,74358,59752,4787,74597,64481,835,-3171,-2045,5409,77483,62607,5409,3080,1005,579,112637,22136,549,38987,9683,4463,23480,15959,6768,98875,37798
2052,156,30538,15434,142,29003,12718,12,1322,4431,156,31734,15950,156,964,0,7,32321,6778,7,24987,1740,59,15976,2807,206,72179,2040
2060,10414,100332,62236,8106,86736,66940,2011,1443,168,10414,108895,66075,10414,8374,882,895,138972,27930,856,93470,11234,8422,39174,17834,12535,238541,44708
2061,4405,114862,69828,3255,98957,72719,937,1180,-15,4405,121492,73775,4405,6324,993,411,155717,28140,381,97568,13688,3636,45420,19726,5310,322616,44050
2062,4759,98131,66935,3721,92850,71984,909,1260,-263,4759,102535,70071,4759,4167,1119,508,104687,32226,485,53658,13724,3898,36197,19128,5595,218732,70667
2063,4260,151574,64991,2684,118679,64048,1054,4591,1564,4260,158630,70312,4260,6475,869,448,188053,44097,435,109299,16743,3343,70387,21765,4373,400274,98282
2064,6119,79117,55154,4966,76024,61047,1075,-1048,-1022,6119,82194,57790,6119,3007,751,524,92432,29153,499,49014,9060,4888,27518,14899,7198,143980,39718
2065,20803,92892,64956,16716,86453,69432,3809,-87,-301,20803,96857,68221,20803,3821,925,1825,125985,32649,1749,81344,12375,17241,33197,18184,24156,190294,52103
2066,18801,95917,58641,14491,86439,62400,3679,902,-430,18801,100471,61955,18801,4322,921,1802,135773,31560,1739,76345,13367,14965,37096,16995,21162,223699,64035
2067,16100,67613,43504,11780,68825,51348,3533,951,-200,16100,70449,46014,16100,2621,445,1282,109387,29428,1206,77730,12656,11570,24946,12843,18162,128335,27515
2068,10584,112123,59248,7647,98192,62742,2229,2678,630,10584,116789,62464,10584,4291,874,997,134758,35245,974,82292,13790,8230,47736,18923,11713,236709,78347
2069,9065,114922,54870,6119,98183,57334,2113,3165,814,9065,120191,58481,9065,5014,756,842,178798,35793,809,111093,17283,6937,50772,17807,9684,303411,78676
2070,8560,108137,54928,5776,92838,56656,1864,1502,305,8560,113363,58390,8560,4991,750,764,220951,38911,747,154361,14568,6480,46965,18102,8854,282844,75963
2071,8581,104255,51773,5513,91161,54966,2047,2521,577,8581,110066,54567,8581,5531,636,764,305256,46945,723,227756,18706,6370,46158,17649,8722,302651,65155
2072,5088,88570,46906,3411,84502,53162,1123,-34,29,5088,93601,49706,5088,4890,550,412,190899,38536,394,125816,16356,3633,38537,16202,5266,252959,56862
2073,10410,100202,54947,7368,91316,60582,2300,-764,-716,10410,104573,58306,10410,4226,742,959,219686,38500,923,155866,15557,7845,42373,18931,11108,271296,80802
2074,14427,93320,50985,9626,88410,58914,2825,-74,-348,14427,97280,53399,14427,3743,693,1235,140832,31000,1194,93874,12364,10528,39408,17770,14973,266173,82545
2075,13111,90263,50313,8850,86984,57656,2436,318,-310,13111,94197,53116,13111,3784,650,1090,128366,31580,1045,88916,14207,9649,37254,16822,13727,260256,73348
2076,15107,88087,51637,10715,83325,57785,3146,-1006,-940,15107,92151,54496,15107,3831,740,1272,289209,30926,1244,227339,13104,11376,34982,16477,16261,231106,72280
2077,21895,57042,46203,17647,61194,52466,3512,-1561,-1383,21895,59174,48209,21895,2051,630,1836,86695,25656,1746,66568,9886,16564,16982,11635,24670,102811,39630
2079,4535,61231,48375,3707,64274,53494,726,-3310,-1374,4535,63648,50198,4535,2380,689,408,61332,33608,398,39372,13090,3517,18447,12279,5128,131205,62623
2080,1071,62026,43921,859,61559,51233,156,-2954,-2065,1071,64387,46749,1071,2299,690,112,57174,26344,102,33074,13660,797,20289,11569,1213,138342,64341
2081,3322,61695,48150,2740,64867,53216,530,-1936,-1127,3322,64016,50103,3322,2258,670,293,62739,28045,283,49140,9913,2586,19120,12381,3754,138496,70142
2082,3274,61615,47504,2664,63640,53345,520,-1770,-971,3274,63925,49545,3274,2296,724,323,66305,31744,318,42397,13612,2565,18391,12083,3761,138548,73591
2083,986,58504,42692,717,59994,48138,191,25,74,986,61177,45696,986,2362,687,131,71350,33303,128,47403,13442,712,18765,11225,1187,142070,58780
2084,2402,98632,48914,1683,75589,50062,469,387,-172,2402,104290,52393,2402,5546,644,240,124633,36811,242,78583,16172,1805,42494,14171,2599,275213,69293
2085,7168,69487,44914,5009,73960,53108,1235,1782,337,7168,72622,47261,7168,3001,603,590,98848,31692,569,72652,14483,5145,25453,14019,7752,189973,78224
2086,8268,71938,48559,6327,73417,55697,1589,398,-119,8268,74873,51048,8268,2815,704,772,83467,34762,737,60328,15313,6242,25446,14186,9415,160008,70579
2087,7597,80330,47883,5347,80746,55526,1595,1830,545,7597,83398,50390,7597,2929,616,696,104237,34593,675,68448,15120,5610,31077,15218,8403,178778,71386
2088,19636,155143,65656,13160,122716,65204,3890,2305,1267,19636,162986,70105,19636,7197,1008,1945,166220,33070,1863,105327,14661,15620,70957,20737,21721,405834,76049
2089,8879,100193,63377,6976,90282,68250,1641,-1871,-702,8879,105165,67293,8879,4737,1076,832,132303,22516,796,97342,9998,7308,37847,17575,10645,206728,50486
2090,9242,107605,64203,7037,95803,68900,1760,1500,-80,9242,112543,68079,9242,4711,992,928,112917,32536,904,61342,12088,7451,42706,18941,10827,253582,64300
2092,4471,115492,59927,3188,101955,62521,955,2694,428,4471,120380,63399,4471,4651,794,393,121298,36585,388,78616,14698,3434,50035,19803,4956,260927,79264
2093,14603,95675,53946,11035,88634,57121,2495,2518,571,14603,99753,56825,14603,3871,861,1510,93378,31398,1463,59194,12625,11513,37438,15610,16606,190921,61802
2094,4200,94661,61674,3202,89376,65259,761,2686,-85,4200,98722,65575,4200,3902,990,420,98743,30640,412,67671,12028,3382,35377,17985,4859,207170,58711
2095,12168,97655,57146,9446,88613,59745,1968,3261,571,12168,102948,60276,12168,4917,770,1216,157124,35010,1185,123662,12891,9527,38884,17054,15511,187881,29096
2096,9850,87496,56236,7863,82260,59241,1738,145,-249,9850,91349,59542,9850,3717,970,1145,111107,35372,1119,77690,13435,8078,31305,14570,11763,146516,48116
2097,9928,75833,49106,7572,70245,51536,1888,1315,658,9928,79993,51786,9928,4085,704,1061,85354,35286,1033,57563,14788,7697,26998,12919,11081,168760,55972
2099,25603,62177,45787,20453,61910,49741,3884,1057,-107,25603,65013,48097,25603,2764,733,2631,78619,35040,2599,52622,13748,19978,19256,10613,29356,106257,41535
2100,13514,66553,47090,10459,67813,51499,2417,2680,306,13514,69433,49508,13514,2785,698,1559,105210,32765,1507,81471,14262,10452,21600,11852,15412,124866,50784
2101,12328,69937,47638,9140,65524,51438,2242,2163,282,12328,73059,50412,12328,3047,716,1485,92674,37329,1453,64371,16286,9486,23795,12173,13633,151635,54041
2102,4473,67324,49581,3496,66976,53030,718,-36,-887,4473,70374,51756,4473,2988,770,511,77729,36137,499,49384,13739,3492,21724,12946,4852,131294,57820
2103,7260,66302,45592,5162,65626,49434,1343,3135,610,7260,69601,47902,7260,3046,615,813,92749,36220,807,59598,14887,5434,22422,12000,7952,202806,60079
2104,2363,93534,45788,1400,77602,45325,439,4738,2680,2363,98435,48223,2363,4620,602,233,140744,29700,227,112221,14876,1734,38810,13144,2367,403360,84766
2105,1373,86232,46737,878,76822,49600,288,2266,1120,1373,90389,49201,1373,3799,645,179,89892,30344,180,60268,15433,992,35914,15413,1569,305667,77181
2106,6520,79855,47830,4745,67727,48638,1201,2552,345,6520,84476,50390,6520,4147,647,815,99103,34347,787,71382,14437,4985,30201,12692,7286,224660,58572
2107,10078,79808,44973,6776,70456,47410,1838,3054,498,10078,84431,47909,10078,4083,620,1436,96069,32942,1389,68361,14829,7395,31641,13022,11257,249798,61987
2108,1316,115009,45674,723,81163,42381,283,3931,2478,1316,126283,50627,1316,10186,744,151,187677,30187,148,128440,22434,919,56273,16706,1416,770246,92755
2110,6104,152102,63036,4104,102212,60000,1509,2036,632,6104,160155,67047,6104,7325,910,576,253617,41890,549,165246,22039,4807,70972,19610,6494,395192,91983
2111,8875,81956,53791,6789,76225,58578,1832,2111,136,8875,85624,56730,8875,3582,850,845,203299,37100,827,155209,12734,6937,29974,15188,10127,181038,63751
2112,18068,62239,46340,14290,63353,52036,3800,-167,-1018,18068,65235,48745,18068,2667,716,1653,162136,31500,1589,134772,13438,13813,19440,11891,20081,118623,44149
2113,12045,62368,47949,9744,65123,54522,2267,-1657,-1407,12045,64930,50307,12045,2486,676,948,78872,25804,907,56097,12239,9090,19942,12995,13782,113105,42471
2114,14341,57537,46455,11724,60535,52078,2698,-936,-1326,14341,59800,48535,14341,2191,625,1180,95286,28654,1115,77520,12361,10946,17124,11485,16269,104854,35468
2115,5594,55211,44990,4614,58185,50658,996,-1381,-1274,5594,57554,47310,5594,2296,710,486,67596,29940,467,47614,12750,4308,15524,10652,6477,88416,39578
2116,3427,51686,43905,2840,56177,49738,553,-2526,-1557,3427,53843,45766,3427,2131,699,303,57224,28500,296,39786,10445,2602,14136,10172,4036,83343,36370
2117,11548,54074,41808,9001,56212,48178,2200,-1701,-1400,11548,56463,43940,11548,2328,565,1072,71797,32024,1004,51555,15537,8486,16298,10428,12945,105147,36982
2118,13928,54666,40799,10226,59516,49236,3253,-974,-1004,13928,57031,42830,13928,2326,512,1258,108705,33060,1210,86727,14350,9964,17255,10674,15060,131148,42097
2119,7341,83056,52032,5227,78988,57961,1759,457,-181,7341,87087,54855,7341,3701,730,573,129775,36119,564,70905,13850,5462,32259,16815,7840,260680,88300
2120,12652,66470,48544,9723,70245,56568,2353,-1032,-814,12652,69149,50806,12652,2584,714,1077,83409,26198,1044,58568,10221,9507,22143,14111,14986,152186,61346
2121,17252,62276,43822,12957,65940,53083,4105,-1451,-1187,17252,64886,46012,17252,2536,549,1315,144744,24154,1256,120776,10594,12370,21502,13166,18574,157250,45454
2122,18850,53853,40306,14109,57405,48177,4269,-53,-688,18850,56168,42264,18850,2214,474,1607,95706,28488,1513,77114,12062,13292,17268,10746,21037,113758,30923
2125,10912,77378,49587,8262,74820,55000,2697,-1648,-1061,10912,80900,52030,10912,3409,682,832,169187,33788,801,128647,13501,8154,28937,14821,12012,210078,68827
2126,11837,66037,46228,9157,70774,55521,2743,-2978,-1832,11837,68817,48919,11837,2671,657,890,124022,27864,864,103369,12078,8730,22664,13738,12929,158107,58542
2127,7788,63380,53757,6591,67706,60340,1493,-4275,-3275,7788,66355,56500,7788,2924,933,741,75872,26946,708,54060,12524,6272,18683,13443,8417,94761,36260
2128,1186,50947,43173,985,54156,48581,174,-3284,-866,1186,53055,45118,1186,2076,524,140,84843,35010,133,67262,18878,928,13361,9410,1376,51302,20081
2130,4555,67406,51397,3847,66135,54852,730,893,-358,4555,70112,53790,4555,2660,805,552,73713,24238,512,44445,9439,3706,20626,12515,5747,111657,41151
2131,14122,52620,41546,11738,53368,45590,2087,1065,-296,14122,54604,43180,14122,1936,519,1328,74030,24052,1202,53494,10074,10630,15059,9207,17204,72346,20193
2132,6141,61098,46025,4736,63034,51721,1414,1560,198,6141,63700,48432,6141,2498,672,607,74479,31113,585,49248,12905,4628,19308,11914,7366,106944,37061
2133,6093,54987,44695,4917,57621,49695,1238,1212,-182,6093,57599,46905,6093,2548,736,631,85140,35764,606,60649,15848,4683,15675,10652,7266,95351,39597
2134,8896,48328,33744,6834,47402,37944,1901,1234,117,8896,50217,35184,8896,1780,350,804,88146,26668,723,63944,11543,5977,15916,8002,10516,68787,11523
2135,16497,63678,39508,12832,52990,41328,3717,3358,1048,16497,66466,41286,16497,2702,390,1373,307545,39388,1252,269637,20318,11825,23250,10161,18834,134721,15770
2136,4386,56810,44512,3489,58329,50024,955,1939,330,4386,59464,46606,4386,2584,712,417,94209,33126,391,75252,15818,3341,16872,10641,5085,92887,34721
2137,16214,73034,50120,12505,69746,55305,4030,1047,-218,16214,76460,52784,16214,3252,750,1394,140149,37869,1327,103187,16028,12479,25581,13728,18013,164656,54129
2138,11016,58990,45614,8979,62438,52600,2234,-2573,-1846,11016,61557,47917,11016,2467,584,935,75320,30080,869,49608,12582,8187,18720,12089,12028,85155,25565
2140,8727,49275,41340,7471,51572,46070,1163,-1656,-2004,8727,51374,43000,8727,2006,550,759,86370,28699,705,67604,12248,6580,13342,8884,9947,54076,16274
2141,15650,43345,35617,12436,46899,41044,2614,-586,-580,15650,45100,37036,15650,1707,400,1612,68676,30000,1485,48965,12711,10962,11467,7473,18111,55491,16328
2142,11854,43078,37478,9776,46199,42568,1475,-1115,-1014,11854,45056,39417,11854,1934,606,1407,68564,34790,1315,51197,15891,8738,10370,7307,14483,42710,13929
2143,4272,45101,37846,3405,49200,44307,652,-86,-177,4272,47072,39733,4272,1915,600,490,89695,30944,454,75834,15332,3086,11642,8302,4936,67295,24804
2144,17158,36716,30636,13085,40029,35939,1978,675,-62,17158,38278,31806,17158,1538,355,2709,65723,32143,2519,49534,14176,11440,8550,5461,20247,33971,8579
2145,42042,52944,45576,35368,56208,50956,6968,-1740,-1650,42042,55258,47726,42042,2274,810,3453,74573,32050,3334,53414,14168,32609,14321,10408,48817,77291,30763
2146,9519,51745,45424,8034,55753,50889,1415,-2375,-2186,9519,53987,47630,9519,2205,844,735,69436,26240,702,51938,12472,7418,13583,10161,11197,82912,38456
2147,19467,51719,45209,16568,55050,50158,2798,-2388,-1789,19467,54017,47366,19467,2263,842,1550,62350,28050,1509,43681,13550,15135,13491,10079,23310,89458,42265
2148,32929,47344,42691,28251,50448,47250,3785,-1734,-1806,32929,49457,44717,32929,2078,799,2928,59027,31285,2803,41161,15144,25491,11543,8771,39328,61954,26684
2150,17767,50526,43360,15548,52421,48232,1955,-2176,-2384,17767,52388,45282,17767,1832,558,1355,83459,25146,1232,68527,11114,13504,13695,9565,21403,49809,12909
2151,11556,56044,45670,9363,58845,51517,2024,-1508,-1371,11556,58463,48104,11556,2372,704,1028,67509,27487,972,49961,13360,8841,16237,11086,13487,107913,39496
2152,6431,58030,48096,5154,62114,55403,953,-2650,-1522,6431,61002,50337,6431,2938,890,540,93574,31637,532,83028,13507,4932,17117,12172,7217,109923,49508
2153,34435,61846,48274,27379,65440,55797,7709,-2306,-1637,34435,64642,50541,34435,2707,750,2712,83500,30614,2628,57796,14002,26104,19571,13147,38324,134867,59810
2154,24487,68370,47931,18821,69848,55015,5554,-2476,-1782,24487,71809,50577,24487,3353,725,1874,108767,31036,1789,81936,14879,18250,23791,13758,26623,164425,60494
2155,30106,65742,52728,25669,68252,58701,6005,-4544,-3369,30106,68853,55328,30106,3025,998,2354,84886,33248,2320,59771,15646,24099,19965,13818,32797,107182,56180
2156,8721,76553,47047,6255,68128,50000,1910,-502,-428,8721,81330,50000,8721,4604,570,707,125630,37986,685,88713,18491,6492,29241,13970,9138,224181,69091
2157,2293,60511,41697,1646,56796,43627,458,1682,932,2293,63271,44132,2293,2630,511,278,107040,40540,273,85948,22056,1675,20234,10959,2479,139508,48802
2158,5636,89971,46438,4093,67886,49400,1261,1811,-52,5636,93422,49236,5636,3336,540,533,162243,33097,537,135171,15132,4188,37567,13405,5970,209897,57639
2159,3298,67624,42290,2306,63638,46852,699,1027,563,3298,70820,44739,3298,2971,570,335,98994,40897,334,71991,20426,2402,24622,11896,3467,201095,58194
2160,16704,45287,38759,13231,48390,43976,2496,478,-74,16704,47397,40634,16704,2053,615,2019,69979,36265,1930,51667,17166,12341,11409,7983,19626,57192,19807
2161,12816,43097,37351,9977,46775,43141,1647,-760,-949,12816,45151,39212,12816,2005,580,1798,68323,37199,1719,49037,19080,9337,10430,7303,15316,52100,17988
2162,8122,44877,38564,6438,48379,44447,1164,-19,-843,8122,46896,40341,8122,1955,604,930,71235,38947,897,51412,19182,5970,11144,7915,9606,66537,23666
2163,3434,40384,36216,2823,43391,40558,362,-1005,-1474,3434,42340,37897,3434,1918,603,366,52222,34088,349,33046,15910,2452,9294,6678,4595,41998,13326
2164,9386,48412,41530,7624,49800,45668,1550,2123,35,9386,50694,43383,9386,2221,790,859,78736,38283,829,57102,19499,7184,12283,8664,11044,74226,29518
2165,16131,43121,37551,13183,45364,41928,2384,199,-526,16131,45200,39403,16131,2014,650,1741,80971,40020,1673,61073,18802,11802,10359,7296,19892,48742,17803
2166,22338,42363,36800,18376,43756,40321,3466,609,-92,22338,44188,38266,22338,1794,528,1941,117285,44296,1879,97302,22157,16056,10255,6901,28186,41974,14781
2167,5034,50367,44837,4405,53980,50016,727,-2791,-2109,5034,52692,47443,5034,2311,924,352,45170,23577,338,31489,10590,3964,12641,9757,5844,70414,32435
2168,18240,45222,40710,15760,47785,44519,2233,-2162,-1696,18240,47521,42800,18240,2274,871,1576,81763,40168,1546,61000,19172,14078,10543,7754,22918,51095,21649
2170,47870,49502,42930,40059,52369,47850,6813,-796,-1309,47870,52081,45174,47870,2544,914,4619,99061,40505,4507,78582,19544,37196,12511,9014,57222,67966,28925
2171,18716,54615,47305,15975,56652,51428,3413,-1579,-1748,18716,57447,50000,18716,2795,1167,1563,98900,39202,1523,75976,19643,15210,14190,10373,20343,75288,39250
2172,1453,67745,58138,1249,67743,63000,378,-3628,-2018,1453,70803,61299,1453,3052,1221,88,81436,22150,82,62637,13223,1194,19858,14844,1624,152433,68786
2173,8332,58206,52726,7485,60954,57517,1513,-3855,-2879,8332,61116,55794,8332,2865,1289,578,76880,30996,550,57525,16868,6882,15344,12227,9488,97427,52911
2174,862,59338,52248,747,62332,56548,162,-494,-1008,862,62624,55248,862,3233,1408,71,93232,34936,70,73088,18154,714,15695,12310,886,73079,41090
2175,1099,58880,43872,808,52949,45299,306,7058,3573,1099,61978,46196,1099,2950,680,110,91453,37549,107,74480,21759,850,17880,10856,1165,128800,35456
2176,23744,49385,42020,19461,50857,46105,4745,639,-288,23744,51763,44270,23744,2332,838,2115,112746,41600,2057,89692,19180,18277,12672,8892,27395,74763,30560
2177,7429,46614,40794,6329,48803,44505,1240,-973,-829,7429,48852,42842,7429,2184,814,623,77810,39766,609,57659,20630,5729,11244,8119,8935,55484,22691
2178,1999,59018,44420,1508,50038,44319,504,4521,1772,1999,61729,47034,1999,2679,693,193,168222,37583,190,145319,22683,1571,17613,9691,2203,106874,32164
2179,2603,52205,42375,1976,51267,45827,559,3960,1786,2603,54858,44293,2603,2612,720,265,73805,32830,263,54328,17267,1999,14316,9219,2977,88806,30796
2190,10773,44438,35984,8074,47979,41857,1552,985,-26,10773,46721,37750,10773,2240,534,1625,87558,42841,1580,67437,22790,7666,11618,7422,12649,57732,18108
2191,3174,51431,41009,2471,54331,47491,590,662,-141,3174,53819,43058,3174,2323,706,357,86299,41799,349,61328,19910,2402,14158,9469,3627,82465,33105
2192,6496,44587,38427,5195,47498,43199,933,2379,1085,6496,46651,40146,6496,2018,550,788,68744,35715,746,50913,17110,4796,11014,7723,8020,52765,19463
2193,8503,56260,45092,6859,58959,50263,1653,2018,169,8503,58756,47248,8503,2451,776,973,66448,30986,928,45577,13180,6540,16198,10767,10124,97380,38133
2194,12432,40403,34586,9871,43781,39687,1806,335,-630,12432,42048,35861,12432,1541,380,1472,68881,33925,1368,51552,15241,8751,9805,6493,15061,40379,12757
2195,11422,37644,31802,8924,41982,38956,982,892,-354,11422,39463,33496,11422,1808,500,2031,69388,35723,1955,55022,19878,7798,8673,5856,14634,34293,10669
2196,14598,43850,37046,11445,46937,41940,2244,887,-279,14598,45968,38944,14598,2099,636,1909,77827,41263,1861,57711,23087,10578,10995,7307,17370,56771,19869
2197,3983,48229,38871,3147,49981,45129,601,809,-699,3983,50577,41114,3983,2330,657,491,84333,43245,480,61826,23742,2943,13146,8068,4714,70092,26316
2198,4481,49657,40848,3465,52886,46566,831,399,-14,4481,52045,43201,4481,2305,659,443,94892,42905,432,71755,24174,3313,13646,9117,5151,102376,41816
2199,7700,45334,37340,6113,49140,42620,1198,180,-721,7700,47497,39106,7700,2130,652,901,81921,37922,872,63319,18638,5578,11907,7557,9148,61009,21803
2200,19273,43915,36647,15316,46523,42041,2880,751,-340,19273,46080,38523,19273,2124,600,2372,83722,40000,2286,64609,21338,13829,11182,7373,23180,52030,16765
2203,8217,62616,51073,7064,64246,55062,1227,1214,-255,8217,65297,53554,8217,2637,954,935,58427,23342,888,35475,10026,6678,17980,12337,10279,98785,43965
